Time	[Ctelo]	[Utelo]	[Cdc13]	[Rad17Utelo]	[Rad17]	[Rad24]	[RPA]	[Mec1]	[ssDNA]	[RPAssDNA]	[RPAssDNA1]	[RPAssDNA2]	[Mec1RPAssDNA]	[ExoXI]	[ExoXA]	[Exo1I]	[Exo1A]	[Rad9I]	[Rad9A]	[Rad53I]	[Rad53A]	[Chk1I]	[Chk1A]	[Dun1I]	[Dun1A]	[ATP]	[ADP]	[Rad9Kin]	[recovery]	[G1]	[S]	[G2]	[M]	[G1cyclin]	[Scyclin]	[G2cyclin]	[Mcyclin]	[G1CdkI]	[G1CdkA]	[SCdkI]	[SCdkA]	[G2CdkI]	[G2CdkA]	[MCdkI]	[MCdkA]	[G1Soff]	[G1Son]	[SG2off]	[SG2on]	[G2Moff]	[G2Mon]	[MG1off]	[MG1on]	[sink]	[budscar]
48	63.8361	0.163584	300.164	0.000331789	69.9997	70	3999.95	3999.99	0.000326093	2.8371e-05	0.0283247	0.0139479	0.00695564	69.9998	0.000226642	124.571	545.429	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	7.463	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
49	63.8361	0.163601	300.164	0.000339805	69.9997	70	3999.95	3999.99	0.000325382	2.92593e-05	0.0286989	0.0144147	0.0074167	69.9998	0.000232252	120.281	549.719	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	7.61396	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
50	63.836	0.163615	300.164	0.000347822	69.9997	70	3999.95	3999.99	0.000324661	3.01339e-05	0.0290603	0.0148774	0.00789186	69.9998	0.000237863	116.138	553.862	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	7.76473	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
51	63.836	0.163627	300.164	0.00035584	69.9996	70	3999.95	3999.99	0.000323931	3.09946e-05	0.0294093	0.0153356	0.0083809	69.9998	0.000243475	112.138	557.862	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	7.91532	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
52	63.836	0.163638	300.164	0.000363857	69.9996	70	3999.95	3999.99	0.000323195	3.1841e-05	0.0297465	0.0157891	0.00888361	69.9998	0.000249087	108.275	561.725	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	8.06573	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
53	63.836	0.163647	300.164	0.000371876	69.9996	70	3999.94	3999.99	0.000322455	3.26731e-05	0.0300722	0.0162377	0.00939974	69.9997	0.0002547	104.546	565.454	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	8.21596	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
54	63.836	0.163655	300.164	0.000379895	69.9996	70	3999.94	3999.99	0.000321714	3.34905e-05	0.0303869	0.0166812	0.00992906	69.9997	0.000260312	100.945	569.055	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	8.36601	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
55	63.836	0.163661	300.164	0.000387914	69.9996	70	3999.94	3999.99	0.000320971	3.42933e-05	0.0306908	0.0171195	0.0104714	69.9997	0.000265925	97.4683	572.532	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	8.51588	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
56	63.8359	0.163667	300.164	0.000395933	69.9996	70	3999.94	3999.99	0.00032023	3.50813e-05	0.0309845	0.0175524	0.0110264	69.9997	0.000271539	94.1113	575.889	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	8.66558	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
57	63.8359	0.163672	300.164	0.000403953	69.9996	70	3999.94	3999.99	0.000319491	3.58545e-05	0.0312683	0.0179797	0.0115939	69.9997	0.000277152	90.8698	579.13	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	8.81509	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
58	63.8359	0.163676	300.164	0.000411973	69.9996	70	3999.94	3999.99	0.000318755	3.66129e-05	0.0315426	0.0184015	0.0121736	69.9997	0.000282766	87.74	582.26	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	8.96442	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
59	63.8359	0.16368	300.164	0.000419993	69.9996	70	3999.94	3999.99	0.000318024	3.73566e-05	0.0318076	0.0188175	0.0127654	69.9997	0.00028838	84.718	585.282	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	9.11357	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
60	63.8359	0.163683	300.164	0.000428014	69.9996	70	3999.94	3999.99	0.000317297	3.80855e-05	0.0320637	0.0192277	0.013369	69.9997	0.000293994	81.8	588.2	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	9.26255	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
61	63.8359	0.163686	300.164	0.000436034	69.9996	70	3999.93	3999.99	0.000316576	3.87998e-05	0.0323113	0.019632	0.0139841	69.9997	0.000299608	78.9826	591.017	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	9.41134	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
62	63.8359	0.163688	300.164	0.000444055	69.9996	70	3999.93	3999.99	0.000315861	3.94996e-05	0.0325506	0.0200304	0.0146105	69.9997	0.000305223	76.2622	593.738	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	9.55996	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
63	63.8359	0.16369	300.164	0.000452076	69.9995	70	3999.93	3999.98	0.000315153	4.0185e-05	0.0327819	0.0204229	0.015248	69.9997	0.000310837	73.6355	596.364	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	9.7084	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
64	63.8358	0.163692	300.164	0.000460096	69.9995	70	3999.93	3999.98	0.000314453	4.0856e-05	0.0330056	0.0208094	0.0158963	69.9997	0.000316452	71.0993	598.901	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	9.85666	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
65	63.8358	0.163693	300.164	0.000468117	69.9995	70	3999.93	3999.98	0.00031376	4.1513e-05	0.0332219	0.02119	0.0165553	69.9997	0.000322066	68.6505	601.35	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	10.0047	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
66	63.8358	0.163694	300.164	0.000476138	69.9995	70	3999.93	3999.98	0.000313075	4.2156e-05	0.033431	0.0215645	0.0172246	69.9997	0.000327681	66.2859	603.714	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	10.1526	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
67	63.8358	0.163696	300.164	0.000484159	69.9995	70	3999.93	3999.98	0.000312398	4.27851e-05	0.0336332	0.021933	0.0179042	69.9997	0.000333295	64.0029	605.997	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	10.3004	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
