Time	[CC]	[CCPT]	[clkp]	[perp]	[clkm]	[perm]	[PT]	[vrip]	[vrim]	[VRI]	[pdpp]	[pdpm]	[PDP]	[CLK]	[PER]	[timp]	[timm]	[TIM]	[CYC]	[CCbindingPer]	[CCbindingvri]	[CCbindingpdp]	[VRIbindingclkp]	[PDPbindingclkp]	[CCbindingtim]
70	0.11575	0.520209	0.003185	0.003185	0.248229	0.258406	2.02366	0.003185	0.281456	3.51306	0.003185	0.336972	4.34842	3.41404	3.49371	0.003185	0.258405	3.49367	1	0.0230617	0.0289275	0.0718245	0.508803	0.411532	0.0230617
71	0.204557	0.523638	0.003185	0.003185	0.253526	0.249139	1.15166	0.003185	0.26873	3.34607	0.003185	0.328216	4.29595	3.5103	3.1285	0.003185	0.249139	3.12846	1	0.0269123	0.0350598	0.0703904	0.49845	0.419526	0.0269123
72	0.479002	0.506192	0.003185	0.003185	0.258532	0.241482	0.474128	0.003185	0.25893	3.20284	0.003185	0.320262	4.23646	3.64657	2.79912	0.003185	0.241482	2.79908	1	0.0395507	0.0534433	0.0779143	0.489133	0.42657	0.0395507
73	1.14781	0.472926	0.003185	0.003185	0.262998	0.237493	0.185063	0.003185	0.255444	3.10658	0.003185	0.314866	4.1737	3.89231	2.62127	0.003185	0.237493	2.62123	1	0.0760726	0.104798	0.108841	0.481937	0.431924	0.0760726
74	1.95624	0.46723	0.003185	0.003185	0.266438	0.240038	0.107543	0.003185	0.262653	3.1013	0.003185	0.314428	4.11482	4.21589	2.58459	0.003185	0.240037	2.58455	1	0.143388	0.195974	0.17176	0.479223	0.433942	0.143388
75	2.59445	0.482274	0.003185	0.003185	0.267994	0.24936	0.0838175	0.003185	0.280113	3.2151	0.003185	0.319164	4.06846	4.49656	2.61855	0.003185	0.24936	2.61852	1	0.224376	0.299671	0.253081	0.483637	0.430526	0.224376
76	2.89915	0.509231	0.003185	0.003185	0.266816	0.263123	0.0792481	0.003185	0.303467	3.42932	0.003185	0.327155	4.04021	4.64859	2.68934	0.003185	0.263123	2.68931	1	0.297039	0.386127	0.332103	0.495391	0.421207	0.297039
77	2.79419	0.541349	0.003185	0.003185	0.262708	0.278849	0.0874142	0.003185	0.328775	3.70177	0.003185	0.33648	4.03128	4.62727	2.77676	0.003185	0.278848	2.77673	1	0.346559	0.4397	0.392851	0.511977	0.407782	0.346559
78	2.27428	0.573321	0.003185	0.003185	0.256274	0.294893	0.113699	0.003185	0.353711	3.99509	0.003185	0.346023	4.04008	4.42531	2.8716	0.003185	0.294893	2.87157	1	0.366116	0.456199	0.426723	0.530207	0.392845	0.366116
79	1.41307	0.597435	0.003185	0.003185	0.248528	0.310204	0.190449	0.003185	0.376872	4.28397	0.003185	0.355235	4.0639	4.06879	2.97831	0.003185	0.310204	2.97828	1	0.353183	0.435026	0.43006	0.547692	0.378457	0.353183
80	0.510385	0.580128	0.003185	0.003185	0.240471	0.323807	0.509182	0.003185	0.396887	4.54985	0.003185	0.363766	4.09968	3.63877	3.15225	0.003185	0.323806	3.15223	1	0.308777	0.377191	0.402999	0.563044	0.365833	0.308777
81	0.158448	0.520629	0.003185	0.003185	0.23289	0.334548	1.47377	0.003185	0.411985	4.77343	0.003185	0.371259	4.14419	3.33429	3.53195	0.003185	0.334548	3.53193	1	0.249849	0.302304	0.358712	0.575471	0.355638	0.249849
82	0.0818752	0.494333	0.003185	0.003185	0.22635	0.3417	2.71253	0.003185	0.421058	4.93649	0.003185	0.37742	4.19409	3.1817	3.97372	0.003185	0.3417	3.9737	1	0.197474	0.236448	0.314551	0.584461	0.348295	0.197474
83	0.0553762	0.47953	0.003185	0.003185	0.221237	0.345177	3.89253	0.003185	0.424125	5.03035	0.003185	0.382067	4.24613	3.08734	4.34882	0.003185	0.345177	4.3488	1	0.155268	0.183988	0.274796	0.589815	0.343984	0.155268
84	0.0431988	0.46974	0.003185	0.003185	0.217759	0.345246	4.88975	0.003185	0.421807	5.05596	0.003185	0.385084	4.29726	3.02447	4.6358	0.003185	0.345246	4.63577	1	0.122009	0.143147	0.239781	0.591674	0.34261	0.122009
85	0.0369946	0.463941	0.003185	0.003185	0.215965	0.342353	5.64126	0.003185	0.414994	5.02041	0.003185	0.386418	4.34474	2.98783	4.8338	0.003185	0.342353	4.83378	1	0.0960322	0.111646	0.209193	0.590398	0.343875	0.0960322
86	0.0339729	0.461786	0.003185	0.003185	0.215772	0.337016	6.11649	0.003185	0.404649	4.93376	0.003185	0.386075	4.38617	2.97517	4.94656	0.003185	0.337016	4.94654	1	0.0758532	0.087492	0.182593	0.586449	0.347385	0.0758532
87	0.0330246	0.462911	0.003185	0.003185	0.217014	0.329757	6.30928	0.003185	0.391692	4.80696	0.003185	0.384114	4.41958	2.98401	4.97952	0.003185	0.329757	4.9795	1	0.0602567	0.0690769	0.159543	0.580309	0.352715	0.0602567
88	0.0337256	0.466864	0.003185	0.003185	0.219482	0.321061	6.23239	0.003185	0.376937	4.6505	0.003185	0.380638	4.4434	3.01144	4.93892	0.003185	0.32106	4.9389	1	0.0482787	0.0551445	0.139641	0.57244	0.359456	0.0482787
89	0.0360356	0.473145	0.003185	0.003185	0.222948	0.311354	5.91242	0.003185	0.361074	4.4737	0.003185	0.375786	4.45652	3.05437	4.83131	0.003185	0.311354	4.8313	1	0.0391714	0.0447346	0.122537	0.563259	0.367232	0.0391714
90	0.0402455	0.481236	0.003185	0.003185	0.227189	0.301005	5.38518	0.003185	0.344672	4.28453	0.003185	0.369724	4.45825	3.10976	4.6632	0.003185	0.301005	4.66318	1	0.0323709	0.0371362	0.10794	0.553137	0.375708	0.0323709
91	0.047096	0.490615	0.003185	0.003185	0.231996	0.290325	4.69191	0.003185	0.3282	4.08961	0.003185	0.36264	4.44829	3.17484	4.44084	0.003185	0.290325	4.44083	1	0.0274751	0.0318561	0.0956258	0.542401	0.384587	0.0274751
92	0.0581759	0.500733	0.003185	0.003185	0.237176	0.279581	3.87671	0.003185	0.312047	3.89442	0.003185	0.354737	4.42675	3.2473	4.17032	0.003185	0.279581	4.17031	1	0.024243	0.0286176	0.0854657	0.531341	0.393608	0.024243
93	0.0770709	0.510901	0.003185	0.003185	0.242555	0.269019	2.98555	0.003185	0.296565	3.70365	0.003185	0.346241	4.39407	3.32561	3.85788	0.003185	0.269019	3.85787	1	0.0226357	0.0274208	0.0774808	0.520223	0.402535	0.0226357
94	0.113178	0.519869	0.003185	0.003185	0.247975	0.258898	2.06832	0.003185	0.282132	3.52172	0.003185	0.337421	4.35107	3.40986	3.51142	0.003185	0.258898	3.51141	1	0.0229804	0.0287747	0.0720129	0.509315	0.411138	0.0229804
95	0.19774	0.523779	0.003185	0.003185	0.253282	0.249578	1.19178	0.003185	0.269305	3.35386	0.003185	0.328649	4.29899	3.5052	3.14637	0.003185	0.249578	3.14636	1	0.0265947	0.0345806	0.0703223	0.498928	0.419167	0.0265947
96	0.456851	0.50788	0.003185	0.003185	0.258306	0.241808	0.498841	0.003185	0.259306	3.20909	0.003185	0.320625	4.23975	3.63803	2.8127	0.003185	0.241808	2.81269	1	0.038531	0.0519834	0.0771528	0.489543	0.426268	0.038531
97	1.10824	0.473992	0.003185	0.003185	0.262806	0.237565	0.192074	0.003185	0.255392	3.10962	0.003185	0.315041	4.177	3.87756	2.62597	0.003185	0.237565	2.62596	1	0.0734988	0.101226	0.106543	0.4822	0.431734	0.0734988
98	1.91868	0.46696	0.003185	0.003185	0.266313	0.239752	0.109575	0.003185	0.262035	3.09886	0.003185	0.314328	4.1177	4.20021	2.58442	0.003185	0.239752	2.58441	1	0.13957	0.190919	0.16807	0.479196	0.433967	0.13957
99	2.56984	0.481216	0.003185	0.003185	0.267984	0.248785	0.0844301	0.003185	0.279081	3.20689	0.003185	0.318847	4.07054	4.48532	2.61586	0.003185	0.248785	2.61585	1	0.220428	0.294781	0.248974	0.483229	0.430849	0.220428
100	2.89331	0.507757	0.003185	0.003185	0.266951	0.262393	0.0791771	0.003185	0.30225	3.41711	0.003185	0.326728	4.04133	4.64503	2.68539	0.003185	0.262393	2.68538	1	0.293919	0.38257	0.328541	0.494665	0.421792	0.293919
