Time	[PII]	[UTP]	[PIIUMP]	[PPi]	[GLN]	[PIIUMP2]	[PIIUMP3]	[UMP]	[GS]	[AMP]	[NH4]	[KG]	[NADPH]	[GLU]	[NADP]	[AZGLU]	[ATP]	[ADP]	[AZglu]	[AZGLN]	[AZgln]	[P_i]
83	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
84	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
85	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
86	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
87	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
88	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
89	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
90	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
91	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
92	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
93	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
94	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
95	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
96	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
97	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
98	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
99	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
100	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
