Time	[Dshi]	[Dsha]	[APC_ast/Axin_ast/GSK3beta]	[APC/Axin/GSK3beta]	[GSK3beta]	[APC/Axin]	[APC]	[bCatenin/APC_Ast/Axin_ast/GSK3beta]	[bCatenin_ast/APC_ast/Axin_ast/GSK3beta]	[bCatenin_ast]	[bCatenin]	[Axin]	[TCF]	[bCatenin/TCF]	[bCatenin/APC]	[Rasi]	[Rasa]	[Raf-1]	[Raf-1_ast]	[MEK]	[MEK_ast]	[ERK]	[ERK_ast]	[Raf1/RKIP]	[RKIP]	[RKIP_ast]	[unknown molecule X]	[GSK3beta]
84	100	0	0.0152584	0.0076007	49.1382	0.00154681	96.6015	0.00199983	0.00199983	0.987921	42.7271	0.000800613	6.18752	8.81248	3.43958	200	0	112.558	6.48621	296.113	3.88652	297.89	2.1104	180.959	418.179	0.861923	10.2632	49.1382
85	100	0	0.0152584	0.00760071	49.1382	0.00154681	96.6015	0.00199984	0.00199984	0.987923	42.7271	0.000800614	6.18751	8.81249	3.43959	200	0	112.558	6.48622	296.113	3.88653	297.89	2.1104	180.959	418.179	0.861925	10.2632	49.1382
86	100	0	0.0152584	0.00760072	49.1382	0.00154681	96.6015	0.00199984	0.00199984	0.987926	42.7272	0.000800615	6.18751	8.81249	3.43959	200	0	112.558	6.48622	296.113	3.88653	297.89	2.1104	180.959	418.179	0.861926	10.2632	49.1382
87	100	0	0.0152584	0.00760073	49.1382	0.00154681	96.6015	0.00199984	0.00199984	0.987928	42.7272	0.000800616	6.1875	8.8125	3.43959	200	0	112.558	6.48623	296.113	3.88653	297.89	2.1104	180.959	418.179	0.861927	10.2632	49.1382
88	100	0	0.0152584	0.00760074	49.1382	0.00154682	96.6015	0.00199985	0.00199985	0.98793	42.7273	0.000800617	6.1875	8.8125	3.4396	200	0	112.558	6.48624	296.113	3.88654	297.89	2.11041	180.959	418.179	0.861928	10.2633	49.1382
89	100	0	0.0152584	0.00760074	49.1382	0.00154682	96.6015	0.00199985	0.00199985	0.987932	42.7273	0.000800618	6.1875	8.8125	3.4396	200	0	112.558	6.48624	296.113	3.88654	297.89	2.11041	180.959	418.179	0.861929	10.2633	49.1382
90	100	0	0.0152585	0.00760075	49.1382	0.00154682	96.6015	0.00199986	0.00199986	0.987934	42.7273	0.000800619	6.18749	8.81251	3.4396	200	0	112.558	6.48625	296.113	3.88655	297.89	2.11041	180.959	418.179	0.86193	10.2633	49.1382
91	100	0	0.0152585	0.00760076	49.1382	0.00154682	96.6015	0.00199986	0.00199986	0.987936	42.7274	0.00080062	6.18749	8.81251	3.43961	200	0	112.558	6.48625	296.113	3.88655	297.89	2.11041	180.959	418.179	0.861932	10.2633	49.1382
92	100	0	0.0152585	0.00760077	49.1382	0.00154682	96.6015	0.00199987	0.00199987	0.987938	42.7274	0.000800621	6.18749	8.81251	3.43961	200	0	112.558	6.48626	296.113	3.88656	297.89	2.11042	180.959	418.179	0.861933	10.2633	49.1382
93	100	0	0.0152585	0.00760078	49.1382	0.00154682	96.6015	0.00199987	0.00199987	0.98794	42.7275	0.000800622	6.18748	8.81252	3.43961	200	0	112.558	6.48626	296.113	3.88656	297.89	2.11042	180.959	418.179	0.861934	10.2633	49.1382
