Time	[Akt]	[AktPIP3]	[AktPIP]	[AktPIPP]	[ERK]	[ERKP]	[ERKPP]	[GS]	[HRG]	[MEK]	[MEKP]	[MEKPP]	[PI3K]	[PI3Kstar]	[PIP3]	[R]	[RP]	[RHRG]	[RHRG2]	[RPI3K]	[RPI3Kstar]	[RShGS]	[RShP]	[RShc]	[Raf]	[Rafstar]	[RasGDP]	[RasGTP]	[ShGS]	[ShP]	[Shc]	[P_I]	[internalization]	[E]	[MKP3]	[PP2A]
57	6.84761	0.769513	0.854101	1.52878	958.823	39.7599	1.41727	8.85451	250.029	31.8095	50.5584	37.6321	3.32949	6.03964	0.0518854	0.0292216	15.6058	12.017	14.8483	0.439966	0.190901	1.13604	1.16799	0.296206	96.5789	3.42106	120	0.000428647	0.00945722	997.173	0.217504	796.796	0.291615	7	2.4	11.4
58	6.78221	0.76459	0.866515	1.58668	956.604	41.8217	1.57409	8.98699	250.03	30.8785	50.4322	38.6893	3.30804	6.05862	0.0520502	0.0295639	15.7444	12.0924	14.9734	0.441036	0.192299	1.00472	1.01775	0.258122	96.5955	3.40449	120	0.000375364	0.0082904	997.523	0.188289	796.73	0.307292	7	2.4	11.4
59	6.71844	0.759469	0.878257	1.64383	954.332	43.925	1.74328	9.10483	250.03	29.9768	50.285	39.7382	3.28959	6.07494	0.0521919	0.0298632	15.8651	12.1572	15.0819	0.441956	0.193513	0.887902	0.887772	0.225187	96.6122	3.3878	120	0.000328887	0.00727081	997.828	0.163539	796.666	0.323098	7	2.4	11.4
60	6.65622	0.754196	0.88938	1.70021	952.006	46.0685	1.92536	9.20935	250.03	29.1036	50.1182	40.7782	3.27373	6.08896	0.0523138	0.0301244	15.9698	12.2131	15.176	0.442745	0.194566	0.784273	0.775254	0.196683	96.629	3.37099	120	0.000288348	0.0063801	998.095	0.142499	796.604	0.339016	7	2.4	11.4
61	6.59548	0.748813	0.899926	1.75578	949.628	48.2507	2.1209	9.30184	250.03	28.258	49.933	41.809	3.26011	6.10099	0.0524184	0.0303517	16.0605	12.2612	15.2575	0.44342	0.195478	0.692556	0.677782	0.171996	96.6459	3.35409	120	0.000252989	0.00560217	998.328	0.124559	796.543	0.355033	7	2.4	11.4
62	6.53615	0.743353	0.909939	1.81056	947.199	50.4701	2.33043	9.38353	250.031	27.439	49.7309	42.8301	3.24842	6.11131	0.0525082	0.0305494	16.1388	12.3025	15.3278	0.443998	0.196264	0.611549	0.593291	0.150601	96.6629	3.33709	120	0.000222151	0.00492289	998.53	0.109221	796.484	0.371133	7	2.4	11.4
63	6.47818	0.737844	0.919454	1.86452	944.72	52.7251	2.55448	9.45554	250.031	26.6459	49.5131	43.841	3.23842	6.12015	0.0525852	0.0307209	16.2063	12.3381	15.3884	0.444491	0.196941	0.540127	0.52001	0.132049	96.68	3.32	120	0.000195256	0.00432986	998.707	0.0960759	796.426	0.387307	7	2.4	11.4
64	6.42151	0.732308	0.928504	1.91767	942.192	55.0141	2.79359	9.51893	250.031	25.8777	49.2807	44.8415	3.22987	6.1277	0.052651	0.0308695	16.2642	12.3687	15.4405	0.44491	0.197521	0.477253	0.456418	0.115951	96.6972	3.30284	120	0.000171801	0.00381223	998.862	0.0847869	796.369	0.403543	7	2.4	11.4
65	6.36609	0.726766	0.937122	1.97002	939.616	57.3357	3.04828	9.57466	250.031	25.1338	49.0349	45.8313	3.22258	6.13413	0.0527071	0.0309981	16.3136	12.3949	15.4851	0.445265	0.198017	0.421978	0.401207	0.101977	96.7144	3.28561	120	0.000151347	0.00336048	998.996	0.0750739	796.313	0.419832	7	2.4	11.4
66	6.31187	0.721232	0.945335	2.02156	936.993	59.6883	3.31908	9.62359	250.031	24.4133	48.7767	46.81	3.2164	6.1396	0.0527549	0.0311093	16.3558	12.4173	15.5233	0.445564	0.198439	0.37344	0.353252	0.089841	96.7317	3.26832	120	0.000133511	0.00296628	999.114	0.0667033	796.259	0.436167	7	2.4	11.4
