Time	[Bhi]	[VattHi]	[Vex]	[Blo]	[VattLo]	[Ven]	[Vfus]	[VpCyt]	[VpNuc]	[Rc]	[P_Rdrp]	[RcRdrp]	[P_Np]	[P_M1]	[VpNucM1]	[VpCytM1]	[Cp]	[Rv]	[RvRdrp]	[Rm1]	[Rm2]	[Rm3]	[Rm4]	[Rm5]	[Rm6]	[Rm7]	[Rm8]	[P_Pb1]	[P_Pb2]	[P_Pa]	[P_Nep]	[P_Ha]	[P_Na]	[P_M2]	[Vrel]	[total cRNA]	[total cRNA of a segment]	[total vRNA]	[total vRNA of a segment]
40	150	5.46957e-34	4.13447e-34	1000	2.51637e-35	7.82894e-34	5.1	6.25612e-33	85.3381	6.09899e-07	1.93092e+08	0.0035283	1.10875e+08	2.55489e+08	555.283	345721	2187.21	0.000156996	0.908231	3895.68	3895.68	4087.73	5143.98	5868.82	6492.8	8993.01	10412.4	0.402509	0.402509	9.7384e+06	5.45293e+07	2.31462e+08	3.23355e+08	6.77031e+06	58746	2187.21	273.401	346363	43295.3
41	150	-2.90283e-33	-2.19426e-33	1000	-1.3355e-34	-4.15501e-33	5.1	-3.32027e-32	82.4512	5.84802e-07	1.94566e+08	0.00341914	1.10545e+08	2.55054e+08	532.744	334772	2109.62	0.00015028	0.878635	3762.2	3762.2	3947.67	4967.73	5667.73	6270.33	8684.88	10055.7	0.394009	0.39401	9.81485e+06	5.482e+07	2.3288e+08	3.25813e+08	6.79156e+06	60004.5	2109.62	263.703	335388	41923.5
42	150	1.75968e-33	1.33015e-33	1000	8.09571e-35	2.51874e-33	5.1	2.01273e-32	79.6675	5.60953e-07	1.9599e+08	0.00331324	1.10226e+08	2.54626e+08	511.278	324064	2034.97	0.000143909	0.849991	3633.75	3633.75	3812.89	4798.12	5474.21	6056.24	8388.35	9712.32	0.385776	0.385777	9.88867e+06	5.51004e+07	2.34249e+08	3.28187e+08	6.81196e+06	61222.8	2034.97	254.372	324656	40582
43	150	6.02822e-35	4.55676e-35	1000	2.77339e-36	8.62858e-35	5.1	6.89512e-34	76.9824	5.38271e-07	1.97365e+08	0.00321048	1.0992e+08	2.54205e+08	490.82	313608	1963.14	0.000137862	0.822269	3510.06	3510.06	3683.1	4634.8	5287.88	5850.1	8102.82	9381.72	0.377794	0.377794	9.95998e+06	5.53708e+07	2.35569e+08	3.3048e+08	6.83158e+06	62402.1	1963.14	245.393	314177	39272.1
44	150	3.69971e-35	2.79662e-35	1000	1.70211e-36	5.29563e-35	5.1	4.23175e-34	74.392	5.16681e-07	1.98693e+08	0.00311077	1.09627e+08	2.53793e+08	471.315	303412	1894.01	0.000132118	0.795441	3390.91	3390.91	3558.08	4477.47	5108.39	5651.52	7827.77	9063.26	0.370049	0.37005	1.00289e+07	5.56318e+07	2.36843e+08	3.32695e+08	6.85045e+06	63543.1	1894.01	236.752	303958	37994.8
45	150	-9.78346e-38	-7.39536e-38	1000	-4.50105e-39	-1.40037e-37	5.1	-1.11904e-36	71.8924	4.96117e-07	1.99976e+08	0.003014	1.09344e+08	2.53392e+08	452.707	293480	1827.48	0.000126659	0.769478	3276.09	3276.09	3437.59	4325.85	4935.4	5460.14	7562.71	8756.36	0.362529	0.362529	1.00954e+07	5.58838e+07	2.38074e+08	3.34834e+08	6.86862e+06	64646.9	1827.48	228.435	294005	36750.6
46	150	4.43976e-37	3.35603e-37	1000	2.04259e-38	6.35491e-37	5.1	5.07822e-36	69.4799	4.76514e-07	2.01216e+08	0.00292009	1.09074e+08	2.53001e+08	434.947	283816	1763.43	0.000121467	0.744353	3165.39	3165.39	3321.44	4179.68	4768.64	5275.65	7307.17	8460.49	0.355222	0.355222	1.01597e+07	5.61271e+07	2.39262e+08	3.36901e+08	6.88613e+06	65714.5	1763.43	220.429	284321	35540.1
47	150	3.69359e-38	2.792e-38	1000	1.6993e-39	5.28687e-38	5.1	4.22475e-37	67.1512	4.57817e-07	2.02414e+08	0.00282895	1.08814e+08	2.52621e+08	417.987	274421	1701.77	0.000116526	0.720039	3058.64	3058.64	3209.43	4038.72	4607.82	5097.73	7060.74	8175.16	0.348118	0.348118	1.02218e+07	5.63621e+07	2.4041e+08	3.38899e+08	6.90302e+06	66746.8	1701.77	212.721	274907	34363.4
48	150	-3.54164e-38	-2.67714e-38	1000	-1.62939e-39	-5.06938e-38	5.1	-4.05095e-37	64.9029	4.39973e-07	2.03571e+08	0.00274051	1.08565e+08	2.52253e+08	401.785	265296	1642.39	0.000111821	0.696512	2955.66	2955.66	3101.38	3902.76	4452.69	4926.11	6823.03	7899.93	0.341208	0.341208	1.02819e+07	5.65891e+07	2.41519e+08	3.40828e+08	6.91932e+06	67744.9	1642.4	205.299	265764	33220.5
49	150	2.64378e-38	1.99844e-38	1000	1.21632e-39	3.78421e-38	5.1	3.02397e-37	62.732	4.22933e-07	2.0469e+08	0.00265468	1.08326e+08	2.51896e+08	386.3	256440	1585.21	0.000107338	0.673745	2856.31	2856.31	2997.12	3771.57	4303.01	4760.52	6593.67	7634.38	0.334482	0.334482	1.03399e+07	5.68085e+07	2.42591e+08	3.42693e+08	6.93506e+06	68709.7	1585.22	198.152	256890	32111.2
50	150	3.84738e-38	2.90825e-38	1000	1.77005e-39	5.507e-38	5.1	4.40066e-37	60.6356	4.06652e-07	2.05771e+08	0.00257141	1.08097e+08	2.51551e+08	371.493	247850	1530.14	0.000103065	0.651717	2760.43	2760.43	2896.52	3644.96	4158.57	4600.72	6372.34	7378.11	0.327932	0.327932	1.0396e+07	5.70205e+07	2.43626e+08	3.44495e+08	6.95027e+06	69642.3	1530.15	191.268	248283	31035.4
51	150	1.4113e-38	1.06681e-38	1000	6.49293e-40	2.02009e-38	5.1	1.61426e-37	58.611	3.91087e-07	2.06816e+08	0.0024906	1.07877e+08	2.51218e+08	357.329	239523	1477.09	9.8989e-05	0.630402	2667.88	2667.88	2799.41	3522.76	4019.15	4446.47	6158.7	7130.75	0.321551	0.321551	1.04501e+07	5.72254e+07	2.44627e+08	3.46237e+08	6.96496e+06	70543.5	1477.1	184.637	239940	29992.5
52	150	-3.06794e-39	-2.31907e-39	1000	-1.41146e-40	-4.39134e-39	5.1	-3.50913e-38	56.6554	3.76202e-07	2.07826e+08	0.00241221	1.07667e+08	2.50897e+08	343.775	231456	1425.99	9.50995e-05	0.609779	2578.54	2578.54	2705.66	3404.79	3884.56	4297.57	5952.46	6891.96	0.315332	0.315332	1.05025e+07	5.74234e+07	2.45594e+08	3.47921e+08	6.97917e+06	71414.5	1425.99	178.248	231857	28982.1
53	150	-2.06472e-39	-1.56073e-39	1000	-9.49912e-41	-2.95537e-39	5.1	-2.36165e-38	54.7665	3.61959e-07	2.08802e+08	0.00233616	1.07465e+08	2.50587e+08	330.799	223643	1376.74	9.13861e-05	0.589826	2492.28	2492.28	2615.15	3290.89	3754.61	4153.81	5753.33	6661.4	0.309268	0.309268	1.05531e+07	5.7615e+07	2.46529e+08	3.49548e+08	6.99291e+06	72256.1	1376.74	172.093	224030	28003.7
54	150	3.90019e-39	2.94817e-39	1000	1.79435e-40	5.5826e-39	5.1	4.46107e-38	52.9417	3.48324e-07	2.09746e+08	0.00226239	1.07272e+08	2.50289e+08	318.373	216081	1329.28	8.78391e-05	0.570522	2408.99	2408.99	2527.75	3180.91	3629.12	4014.98	5561.05	6438.77	0.303354	0.303354	1.06021e+07	5.78001e+07	2.47433e+08	3.5112e+08	7.0062e+06	73069.2	1329.29	166.161	216453	27056.6
