Time	[Phosphoenol pyruvate]	[Extracellular Glucose]	[Glucose-6-Phosphate]	[Pyruvate]	[Fructose-6-Phosphate]	[Glucose-1-Phosphate]	[6-Phosphogluconate]	[sedoheptulose-7-phosphate]	[Glyceraldehyde-3-Phosphate]	[Erythrose-4-phosphate]	[Xylulose-5-phosphate]	[Ribose-5-phosphate]	[Dihydroxyacetonephosphate]	[3-Phosphoglycerate]	[2-Phosphoglycerate]	[Ribulose-5-phosphate]	[accoa]	[malcoa]	[fer]	[fer_ext]	[fercoa]	[ferdicoa]	[cur]	[cur_ext]
78	0.588587	53.7246	3.60515	14.4466	0.61577	0.534545	0.831477	0.215848	0.467671	0.164049	0.177631	0.504195	0.474584	0.512022	0.0922252	0.138923	76.972	0.000300012	-5.74909e-28	-8.97354e-28	17638.3	0.000393832	0.0695883	0.0695427
79	0.589599	53.7043	3.60508	14.4893	0.615765	0.534635	0.83146	0.215846	0.467668	0.164047	0.17763	0.504191	0.474397	0.512821	0.0923761	0.138922	77.8863	0.000300012	7.99832e-28	1.24843e-27	17638.2	0.000393832	0.07029	0.0702444
80	0.590599	53.684	3.605	14.5315	0.61576	0.534723	0.831444	0.215844	0.467665	0.164046	0.177629	0.504187	0.474211	0.513612	0.0925252	0.138921	78.7994	0.000300012	2.82261e-27	4.4057e-27	17638.1	0.000393832	0.0709917	0.0709461
81	0.591587	53.6637	3.60493	14.5733	0.615756	0.534811	0.831428	0.215842	0.467662	0.164044	0.177628	0.504183	0.474028	0.514393	0.0926727	0.138919	79.7114	0.000300012	2.26878e-27	3.54125e-27	17638	0.000393832	0.0716934	0.0716478
82	0.592564	53.6435	3.60485	14.6147	0.615751	0.534897	0.831413	0.21584	0.467658	0.164043	0.177626	0.504178	0.473848	0.515166	0.0928186	0.138918	80.6221	0.000300012	-6.7235e-28	-1.04945e-27	17637.9	0.000393832	0.0723951	0.0723495
83	0.593531	53.6232	3.60478	14.6557	0.615747	0.534982	0.831397	0.215839	0.467655	0.164042	0.177625	0.504174	0.47367	0.51593	0.0929628	0.138917	81.5317	0.000300012	-7.25691e-27	-1.1327e-26	17637.9	0.000393832	0.0730968	0.0730512
84	0.594487	53.603	3.60471	14.6962	0.615743	0.535065	0.831382	0.215837	0.467652	0.164041	0.177624	0.50417	0.473494	0.516685	0.0931054	0.138916	82.4401	0.000300012	-1.07826e-26	-1.68302e-26	17637.8	0.000393832	0.0737985	0.0737529
85	0.595433	53.5828	3.60464	14.7364	0.615739	0.535148	0.831367	0.215835	0.467648	0.164039	0.177623	0.504166	0.47332	0.517433	0.0932465	0.138915	83.3474	0.000300012	-1.18599e-26	-1.85116e-26	17637.7	0.000393832	0.0745002	0.0744546
86	0.596369	53.5627	3.60457	14.7762	0.615735	0.53523	0.831353	0.215834	0.467644	0.164038	0.177622	0.504162	0.473148	0.518172	0.0933861	0.138914	84.2535	0.000300012	-8.85528e-27	-1.38219e-26	17637.6	0.000393832	0.0752019	0.0751563
87	0.597294	53.5425	3.6045	14.8156	0.615731	0.53531	0.831339	0.215833	0.467641	0.164036	0.177621	0.504158	0.472979	0.518904	0.0935242	0.138913	85.1585	0.000300012	-4.94053e-27	-7.71148e-27	17637.5	0.000393832	0.0759036	0.075858
