Time	[MK]	[MKK-PP]	[MK_MKK-PP]	[MK-P]	[MK-P_MKK-PP]	[MK-PP]	[MKK]	[MKKK-P]	[MKK_MKKK-P]	[MKK-P]	[MKK-P_MKKK-P]	[MKK-PP_P2]	[P2]	[MKK-P_P2]	[MKK_P2]	[MKKK]	[MKKK_Sig]	[Sig]	[MKKK-P_P1]	[P1]	[MK-PP_P2]	[MK-P_P2]	[MK_P2]	[MKK-PP_P1]	[MKK-P_P1]	[MKK_P1]	[MKKK_P1]
85	1154.62	1.77751	39.9177	1.83647	0.00651087	0.0943697	876.742	13.9944	242.751	6.42638	0.179763	12.53	173.715	10.2341	0	22.6713	1.85489	8.14511	18.5483	72.0172	0.645029	2.8756	0	5.19303	4.24148	0	0
86	1153.74	1.81074	40.6473	1.88253	0.0067993	0.0994399	875.358	14.0274	242.955	6.47011	0.181415	12.7419	173.353	10.2831	0	22.4363	1.83884	8.16116	18.5611	71.8931	0.678884	2.94295	0	5.28263	4.26325	0	0
87	1152.86	1.84394	41.3752	1.92881	0.00709455	0.104678	873.992	14.0595	243.144	6.51359	0.183053	12.9526	172.992	10.3315	0	22.2169	1.82379	8.17621	18.5727	71.7705	0.713786	3.01036	0	5.37193	4.28483	0	0
88	1151.98	1.87712	42.1015	1.97529	0.00739661	0.110086	872.644	14.0906	243.32	6.55682	0.184678	13.1622	172.631	10.3791	0	22.0121	1.80968	8.19032	18.5834	71.6494	0.749739	3.07781	0	5.46096	4.30625	0	0
89	1151.1	1.91027	42.826	2.02197	0.00770546	0.115666	871.313	14.1209	243.482	6.5998	0.18629	13.3707	172.271	10.4262	0	21.8209	1.79647	8.20353	18.593	71.5298	0.786747	3.14528	0	5.54969	4.3275	0	0
90	1150.22	1.94339	43.5489	2.06883	0.00802112	0.121418	869.998	14.1503	243.633	6.64254	0.187889	13.5781	171.912	10.4726	0	21.6424	1.7841	8.2159	18.6018	71.4115	0.824812	3.21277	0	5.63812	4.34857	0	0
91	1149.33	1.97648	44.2699	2.11586	0.00834355	0.127344	868.699	14.179	243.773	6.68503	0.189475	13.7843	171.553	10.5183	0	21.4758	1.77252	8.22748	18.6097	71.2945	0.863938	3.28025	0	5.72625	4.36947	0	0
92	1148.45	2.00954	44.989	2.16307	0.00867275	0.133445	867.414	14.207	243.903	6.72728	0.191051	13.9895	171.195	10.5635	0	21.3204	1.76168	8.23832	18.6169	71.1788	0.904128	3.34772	0	5.81407	4.3902	0	0
93	1147.57	2.04256	45.7063	2.21044	0.00900871	0.139723	866.143	14.2343	244.023	6.76929	0.192615	14.1934	170.838	10.608	0	21.1753	1.75154	8.24846	18.6233	71.0643	0.945383	3.41515	0	5.90159	4.41076	0	0
94	1146.69	2.07555	46.4218	2.25797	0.00935142	0.146178	864.886	14.2609	244.134	6.81106	0.194168	14.3962	170.482	10.6519	0	21.0399	1.74205	8.25795	18.6291	70.951	0.987706	3.48255	0	5.98879	4.43114	0	0
95	1145.82	2.10851	47.1353	2.30564	0.00970087	0.152813	863.642	14.287	244.236	6.85259	0.19571	14.5979	170.126	10.6952	0	20.9135	1.73318	8.26682	18.6342	70.8388	1.0311	3.54989	0	6.07569	4.45135	0	0
96	1144.94	2.14143	47.8469	2.35346	0.010057	0.159628	862.409	14.3125	244.331	6.89388	0.197242	14.7984	169.771	10.7379	0	20.7956	1.72488	8.27512	18.6387	70.7277	1.07556	3.61717	0	6.16226	4.47139	0	0
97	1144.06	2.17431	48.5565	2.40141	0.0104199	0.166625	861.189	14.3375	244.418	6.93494	0.198765	14.9978	169.417	10.78	0	20.6855	1.71711	8.28289	18.6427	70.6176	1.1211	3.68437	0	6.24853	4.49126	0	0
98	1143.18	2.20715	49.2642	2.4495	0.0107895	0.173804	859.98	14.362	244.499	6.97575	0.200278	15.196	169.063	10.8216	0	20.5828	1.70985	8.29015	18.6461	70.5085	1.1677	3.75149	0	6.33448	4.51095	0	0
99	1142.31	2.23996	49.97	2.49771	0.0111658	0.181167	858.781	14.3861	244.573	7.01633	0.201781	15.3931	168.711	10.8625	0	20.4868	1.70306	8.29694	18.6491	70.4003	1.21538	3.81852	0	6.42011	4.53047	0	0
