Time	[dihydrofolate free]	[dihydrofolate bound]	[dihydrofolate reductase free]	[dihydrofolate reductase total]	[tetrahydrofolate]	[5-methyl-tetrahydrofolate]	[10-formyl-tetrahydrofolate]	[10-formyl-dihydrofolate]	[HCHO]	[FGAR]	[AICAR]	[MTX1]	[MTX2]	[MTX3]	[MTX4]	[MTX5]	[MTX1b]	[MTX2b]	[MTX3b]	[MTX4b]	[MTX5b]	[EMTX]	[dUMP]	[GAR]	[serine]	[formate]	[ATP]	[glutamine]	[glycine]	[NADP]	[NADPH]	[homocysteine]
49	0.00121359	0.00242012	0.638137	0.640557	0.459781	1.6302	1.0012	0.000329933	0.00737876	16.5077	3.69498	5.92688e-27	-3.04566e-27	1.17759e-27	-4.72523e-28	-8.62113e-33	1.94334e-22	-1.91339e-22	-6.10437e-23	-1.09223e-22	-3.64455e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
50	0.00121365	0.00242016	0.638121	0.640541	0.459792	1.63024	1.00122	0.000329947	0.00737873	16.5081	3.69498	5.9163e-27	-3.04726e-27	7.33054e-28	-4.72527e-28	-8.81771e-33	1.93933e-22	-1.91434e-22	-7.21387e-23	-1.09221e-22	-3.73197e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
51	0.0012137	0.00242021	0.638105	0.640525	0.459803	1.63027	1.00124	0.000329962	0.00737871	16.5084	3.69498	5.90985e-27	-3.04827e-27	-5.22205e-29	-4.72535e-28	-9.01428e-33	1.93673e-22	-1.91493e-22	-8.19623e-23	-1.0922e-22	-3.8194e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
52	0.00121375	0.00242025	0.638089	0.64051	0.459814	1.6303	1.00127	0.000329976	0.00737868	16.5088	3.69498	5.90762e-27	-3.04887e-27	-8.37528e-28	-4.72547e-28	-9.21084e-33	1.93511e-22	-1.91526e-22	-9.008e-23	-1.0922e-22	-3.90681e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
53	0.0012138	0.0024203	0.638074	0.640495	0.459825	1.63034	1.00129	0.00032999	0.00737865	16.5091	3.69497	5.9071e-27	-3.0496e-27	-1.05563e-27	-4.72563e-28	-9.40739e-33	1.93325e-22	-1.91566e-22	-9.60132e-23	-1.09221e-22	-3.99422e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
54	0.00121385	0.00242034	0.63806	0.64048	0.459836	1.63037	1.00131	0.000330004	0.00737863	16.5095	3.69497	5.91186e-27	-3.04979e-27	-1.21249e-27	-4.72584e-28	-9.60394e-33	1.93268e-22	-1.91572e-22	-1.00118e-22	-1.09223e-22	-4.08162e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
55	0.0012139	0.00242039	0.638046	0.640466	0.459848	1.6304	1.00133	0.000330018	0.0073786	16.5099	3.69497	5.9209e-27	-3.04947e-27	-1.29415e-27	-4.72607e-28	-9.80048e-33	1.93333e-22	-1.91546e-22	-1.02509e-22	-1.09226e-22	-4.16902e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
56	0.00121395	0.00242043	0.638032	0.640452	0.459859	1.63044	1.00136	0.000330031	0.00737857	16.5102	3.69497	5.93223e-27	-3.04873e-27	-1.29719e-27	-4.72633e-28	-9.99703e-33	1.93499e-22	-1.91494e-22	-1.03415e-22	-1.0923e-22	-4.25642e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
57	0.001214	0.00242048	0.638018	0.640439	0.45987	1.63047	1.00138	0.000330044	0.00737854	16.5106	3.69497	5.94284e-27	-3.04771e-27	-1.22873e-27	-4.72658e-28	-1.01936e-32	1.93729e-22	-1.91425e-22	-1.03181e-22	-1.09233e-22	-4.34383e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
58	0.00121405	0.00242052	0.638005	0.640426	0.459881	1.6305	1.0014	0.000330057	0.00737852	16.511	3.69497	5.94872e-27	-3.04662e-27	-1.10646e-27	-4.72682e-28	-1.03902e-32	1.9397e-22	-1.91353e-22	-1.0227e-22	-1.09237e-22	-4.43124e-27	0	20.76	689.6	123.3	500	2980	7170	1600	6.73	294	10
