Time	[ Inactive Cyclin:CDK complex]	[Active Cyclin:CDK complex]	[Total CDK]	[Free CDK]	[Unphosphorylated CDC25]	[One-site phosphorylated CDC25]	[Two-site phosphorylated CDC25]	[Unphosphorylated wee1]	[phosphorylated wee1]	[Active SKP2 or APC]	[Free CKI]	[Cyclin:CDK:CKI complex with CKI unphosphorylated]	[Cyclin:CDK:CKI complex with CKI phosphorylated]	[Free cyclin]	[totalCyclin]
82	5.54411	8.85153	200	0.928022	41.9209	31.9285	26.1507	5.50558	4.49442	0.364261	0	0	0	9.13647	23.5321
83	5.64157	8.30048	200	0.93029	44.0531	31.628	24.3189	5.66184	4.33816	0.382173	0	0	0	9.0229	22.9649
84	5.75621	7.76836	200	0.932377	46.25	31.24	22.5101	5.82129	4.17871	0.3986	0	0	0	8.93662	22.4612
85	5.89189	7.24658	200	0.934308	48.5434	30.7528	20.7038	5.98645	4.01355	0.413502	0	0	0	8.87825	22.0167
86	6.05505	6.72398	200	0.936105	50.9852	30.1449	18.87	6.16127	3.83873	0.426807	0	0	0	8.85027	21.6293
87	6.25734	6.18334	200	0.937797	53.6681	29.3737	16.9583	6.35273	3.64727	0.438393	0	0	0	8.85848	21.2992
88	6.52251	5.59239	200	0.939426	56.7827	28.3458	14.8715	6.57507	3.42493	0.448032	0	0	0	8.91592	21.0308
89	6.90901	4.87406	200	0.941085	60.8085	26.8098	12.3817	6.86433	3.13567	0.455242	0	0	0	9.05562	20.8387
90	7.60868	3.77693	200	0.943072	67.3898	23.8003	8.80992	7.34715	2.65285	0.458693	0	0	0	9.38594	20.7716
91	9.34589	1.3723	200	0.946409	84.124	13.4361	2.43996	8.64852	1.35148	0.45307	0	0	0	10.3304	21.0486
92	10.5211	0.0666637	200	0.947061	98.3993	1.57215	0.0285171	9.84351	0.156491	0.436001	0	0	0	11.1436	21.7313
93	10.8509	0.0631516	200	0.94543	98.5209	1.45756	0.0215705	9.85402	0.145985	0.418915	0	0	0	11.5112	22.4253
94	11.1841	0.0654099	200	0.943753	98.5006	1.47728	0.0221587	9.85204	0.147964	0.402499	0	0	0	11.8857	23.1352
95	11.524	0.0677495	200	0.942041	98.4794	1.49778	0.022783	9.84998	0.150022	0.386728	0	0	0	12.2692	23.861
96	11.8707	0.0701666	200	0.940296	98.4576	1.51896	0.023437	9.84785	0.152147	0.371576	0	0	0	12.6618	24.6026
97	12.2239	0.0726637	200	0.938517	98.435	1.54083	0.0241222	9.84566	0.154342	0.357018	0	0	0	13.0633	25.3599
98	12.5837	0.0752436	200	0.936705	98.4118	1.56341	0.0248402	9.84339	0.156608	0.343033	0	0	0	13.4738	26.1328
99	12.9499	0.077909	200	0.934861	98.3877	1.58673	0.0255929	9.84105	0.158949	0.329597	0	0	0	13.8933	26.9211
100	13.3223	0.080663	200	0.932985	98.3628	1.61081	0.0263823	9.83863	0.161366	0.316689	0	0	0	14.3216	27.7246
