Time	[IR]	[IRp]	[IRins]	[IRip]	[IRi]	[IRS1]	[IRS1p]	[IRS1p307]	[IRS1307]	[X]	[Xp]	[PKB]	[PKB308p]	[PKB473p]	[PKB308p473p]	[mTORC1]	[mTORC1a]	[mTORC2]	[mTORC2a]	[AS160]	[AS160p]	[GLUT4m]	[GLUT4]	[S6K]	[S6Kp]	[S6]	[S6p]
78	5.9409	0.0191547	42.8967	0.0575482	1.0857	81.5214	0.00402345	0.467857	18.0067	99.9944	0.00560953	22.6518	14.3142	55.1329	7.90102	61.8095	38.1905	99.5366	0.463386	56.7188	43.2812	24.5575	25.4425	98.0483	1.95172	82.673	17.327
79	5.9409	0.0191547	42.8967	0.0575482	1.0857	81.5214	0.00402345	0.467857	18.0067	99.9944	0.00560953	22.6518	14.3142	55.1329	7.90101	61.8095	38.1905	99.5366	0.463386	56.7188	43.2812	24.5575	25.4425	98.0466	1.95341	82.6606	17.3394
80	5.9409	0.0191547	42.8967	0.0575482	1.0857	81.5214	0.00402345	0.467857	18.0067	99.9944	0.00560953	22.6518	14.3143	55.1329	7.90101	61.8095	38.1905	99.5366	0.463386	56.7188	43.2812	24.5575	25.4425	98.045	1.95503	82.6487	17.3513
81	5.9409	0.0191547	42.8967	0.0575482	1.0857	81.5214	0.00402345	0.467857	18.0067	99.9944	0.00560953	22.6518	14.3143	55.1329	7.90101	61.8095	38.1905	99.5366	0.463386	56.7188	43.2812	24.5575	25.4425	98.0434	1.95658	82.6373	17.3627
82	5.9409	0.0191547	42.8967	0.0575482	1.0857	81.5214	0.00402345	0.467857	18.0067	99.9944	0.00560953	22.6519	14.3143	55.1329	7.901	61.8095	38.1905	99.5366	0.463386	56.7188	43.2812	24.5575	25.4425	98.0419	1.95806	82.6265	17.3735
83	5.9409	0.0191547	42.8967	0.0575481	1.0857	81.5214	0.00402345	0.467857	18.0067	99.9944	0.00560954	22.6519	14.3143	55.1329	7.901	61.8095	38.1905	99.5366	0.463386	56.7188	43.2812	24.5575	25.4425	98.0405	1.95947	82.6161	17.3839
84	5.9409	0.0191547	42.8967	0.0575481	1.0857	81.5214	0.00402345	0.467857	18.0067	99.9944	0.00560954	22.6519	14.3143	55.1329	7.901	61.8095	38.1905	99.5366	0.463386	56.7188	43.2812	24.5575	25.4425	98.0392	1.96082	82.6062	17.3938
85	5.9409	0.0191547	42.8967	0.0575481	1.0857	81.5214	0.00402345	0.467856	18.0067	99.9944	0.00560954	22.6519	14.3143	55.1329	7.901	61.8096	38.1904	99.5366	0.463385	56.7188	43.2812	24.5575	25.4425	98.0379	1.96211	82.5967	17.4033
86	5.9409	0.0191547	42.8967	0.0575481	1.0857	81.5214	0.00402345	0.467856	18.0067	99.9944	0.00560954	22.6519	14.3143	55.1329	7.901	61.8096	38.1904	99.5366	0.463385	56.7188	43.2812	24.5575	25.4425	98.0367	1.96334	82.5877	17.4123
87	5.9409	0.0191547	42.8967	0.0575481	1.0857	81.5214	0.00402345	0.467856	18.0067	99.9944	0.00560954	22.6519	14.3143	55.1329	7.901	61.8096	38.1904	99.5366	0.463385	56.7188	43.2812	24.5575	25.4425	98.0355	1.96452	82.579	17.421
88	5.9409	0.0191547	42.8967	0.0575481	1.0857	81.5214	0.00402345	0.467856	18.0067	99.9944	0.00560954	22.6519	14.3143	55.1329	7.901	61.8096	38.1904	99.5366	0.463385	56.7188	43.2812	24.5575	25.4425	98.0344	1.96565	82.5708	17.4292
89	5.9409	0.0191547	42.8967	0.0575481	1.0857	81.5214	0.00402345	0.467856	18.0067	99.9944	0.00560954	22.6519	14.3143	55.1329	7.90099	61.8096	38.1904	99.5366	0.463385	56.7188	43.2812	24.5575	25.4425	98.0333	1.96673	82.5629	17.4371
90	5.9409	0.0191547	42.8967	0.0575481	1.0857	81.5214	0.00402345	0.467856	18.0067	99.9944	0.00560954	22.6519	14.3143	55.1329	7.90099	61.8096	38.1904	99.5366	0.463385	56.7188	43.2812	24.5575	25.4425	98.0322	1.96775	82.5554	17.4446
91	5.9409	0.0191547	42.8967	0.0575481	1.0857	81.5214	0.00402345	0.467856	18.0067	99.9944	0.00560954	22.6519	14.3143	55.1329	7.90099	61.8096	38.1904	99.5366	0.463385	56.7188	43.2812	24.5575	25.4425	98.0313	1.96874	82.5481	17.4519
92	5.9409	0.0191547	42.8967	0.0575481	1.0857	81.5214	0.00402345	0.467856	18.0067	99.9944	0.00560954	22.6519	14.3143	55.1329	7.90099	61.8096	38.1904	99.5366	0.463385	56.7188	43.2812	24.5575	25.4425	98.0303	1.96968	82.5413	17.4587
