Time	[_2PGA_c]	[DHAP_c]	[ATP_g]	[DHAP_g]	[ADP_g]	[Glc6P_g]	[ADP_c]	[_3PGA_c]	[Fru6P_g]	[Pi_g]	[O2_c]	[Gly_e]	[ATP_c]	[_13BPGA_g]	[Glc_c]	[Glc_e]	[Glc_g]	[Pyr_c]	[Pyr_e]	[NAD_g]	[Fru16BP_g]	[GA3P_g]	[CO2_c]	[CO2_g]	[Gly3P_c]	[Gly3P_g]	[PEP_c]	[AMP_g]	[_3PGA_g]	[AMP_c]	[NADH_g]
74	0.344113	4.95318	0.544003	2.6589	1.98374	0.544975	1.2381	3.84373	0.191612	0	1	0	2.34862	0.166349	0.0352699	5	0.0349103	1.37551	0	3.95619	10.5864	0.121301	0	0	0.0468228	17.0724	1.01987	3.47225	1055.78	0.313283	0.0438081
75	0.344113	4.95318	0.544003	2.6589	1.98374	0.544975	1.2381	3.84373	0.191612	0	1	0	2.34862	0.166349	0.0352699	5	0.0349103	1.37551	0	3.95619	10.5864	0.121301	0	0	0.0468228	17.0724	1.01987	3.47225	1055.78	0.313283	0.0438081
76	0.344113	4.95318	0.544003	2.6589	1.98374	0.544975	1.2381	3.84373	0.191612	0	1	0	2.34862	0.166349	0.0352699	5	0.0349103	1.37551	0	3.95619	10.5864	0.121301	0	0	0.0468228	17.0724	1.01987	3.47225	1055.78	0.313283	0.0438081
77	0.344113	4.95318	0.544003	2.6589	1.98374	0.544975	1.2381	3.84373	0.191612	0	1	0	2.34862	0.166349	0.0352699	5	0.0349103	1.37551	0	3.95619	10.5864	0.121301	0	0	0.0468228	17.0724	1.01987	3.47225	1055.78	0.313283	0.0438081
78	0.344113	4.95318	0.544003	2.6589	1.98374	0.544975	1.2381	3.84373	0.191612	0	1	0	2.34862	0.166349	0.0352699	5	0.0349103	1.37551	0	3.95619	10.5864	0.121301	0	0	0.0468228	17.0724	1.01987	3.47225	1055.78	0.313283	0.0438081
79	0.344113	4.95318	0.544003	2.6589	1.98374	0.544975	1.2381	3.84373	0.191612	0	1	0	2.34862	0.166349	0.0352699	5	0.0349103	1.37551	0	3.95619	10.5864	0.121301	0	0	0.0468228	17.0724	1.01987	3.47225	1055.78	0.313283	0.0438081
80	0.344113	4.95318	0.544003	2.6589	1.98374	0.544975	1.2381	3.84373	0.191612	0	1	0	2.34862	0.166349	0.0352699	5	0.0349103	1.37551	0	3.95619	10.5864	0.121301	0	0	0.0468228	17.0724	1.01987	3.47225	1055.78	0.313283	0.0438081
81	0.344113	4.95318	0.544003	2.6589	1.98374	0.544975	1.2381	3.84373	0.191612	0	1	0	2.34862	0.166349	0.0352699	5	0.0349103	1.37551	0	3.95619	10.5864	0.121301	0	0	0.0468228	17.0724	1.01987	3.47225	1055.78	0.313283	0.0438081
82	0.344113	4.95318	0.544003	2.6589	1.98374	0.544975	1.2381	3.84373	0.191612	0	1	0	2.34862	0.166349	0.0352699	5	0.0349103	1.37551	0	3.95619	10.5864	0.121301	0	0	0.0468228	17.0724	1.01987	3.47225	1055.78	0.313283	0.0438081
83	0.344113	4.95318	0.544003	2.6589	1.98374	0.544975	1.2381	3.84373	0.191612	0	1	0	2.34862	0.166349	0.0352699	5	0.0349103	1.37551	0	3.95619	10.5864	0.121301	0	0	0.0468228	17.0724	1.01987	3.47225	1055.78	0.313283	0.0438081
