Time	[R]	[ins]	[IR]	[I2R]	[Rp]	[IRp]	[I2Rp]	[Ren]	[IRen]	[I2Ren]	[RPen]	[IRPen]	[I2RPen]
90	0.0806447	100	2.54659	6.24614	0.0273975	7.42284	18.5362	4.09716	0.0907856	0.128972	0.0174348	0.311461	0.494354
91	0.0799922	100	2.51845	6.17766	0.0275314	7.44758	18.5988	4.0912	0.0917747	0.130317	0.0178999	0.316705	0.502046
92	0.0793833	100	2.49107	6.11093	0.0276619	7.4716	18.6596	4.08526	0.0927763	0.131668	0.018371	0.321966	0.509718
93	0.0788139	100	2.46443	6.0459	0.0277892	7.49493	18.7185	4.07933	0.0937907	0.133025	0.0188483	0.327246	0.517369
94	0.0782806	100	2.43851	5.98253	0.0279133	7.51757	18.7757	4.07342	0.0948176	0.134387	0.0193315	0.332542	0.525
95	0.0777803	100	2.41328	5.92077	0.0280343	7.53955	18.8312	4.06752	0.0958571	0.135756	0.0198208	0.337856	0.532608
96	0.07731	100	2.38873	5.8606	0.0281522	7.56088	18.885	4.06163	0.0969092	0.137129	0.0203161	0.343186	0.540194
97	0.0768673	100	2.36483	5.80197	0.0282671	7.58158	18.9371	4.05576	0.0979738	0.138509	0.0208174	0.348532	0.547757
98	0.0764496	100	2.34157	5.74484	0.0283791	7.60166	18.9877	4.04991	0.0990509	0.139894	0.0213246	0.353895	0.555296
99	0.0760549	100	2.31893	5.68918	0.0284883	7.62115	19.0368	4.04407	0.10014	0.141285	0.0218378	0.359273	0.562812
100	0.0756812	100	2.29689	5.63495	0.0285947	7.64005	19.0843	4.03824	0.101242	0.142681	0.0223569	0.364667	0.570303
