Time	[IIa]	[VIII]	[VIIIa]	[APC_PS]	[IX]	[IXa]	[XIa]	[XI]	[XIIa]	[VII]	[VIIa]	[X]	[Xa]	[IXa_VIIIa]	[V]	[Va]	[II]	[F]	[Fg]	[DP]	[P]	[XF]	[XIII]	[Pg]	[APC]	[IIa_Tmod]	[PC]	[Tmod]	[TF]	[VIIa_TF]	[VII_TF]	[Xa_TFPI]	[TFPI]	[PS]	[VKH2]	[Va_Xa]	[CA]	[XII]	[K]	[ATIII_Heparin]	[Xa_ATIII_Heparin]	[VK]	[C_warf]	[VKO]	[Pk]	[FDP]	[D]	[TAT]	[VIIa_TF_Xa_TFPI]	[XIIIa]	[IIa_ATIII_Heparin]	[IXa_ATIII_Heparin]	[A_warf]	[VK_p]
44	0	0.7	0	0	57.2287	0	0	30.6	0	4.293	0	127.979	0	0	26.7	0	1159.26	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	31.9145	50	0	0	0	0	2.5	225.12	0.0413184	0	0	375	0	0	0	1.00217	0.451846	0.103612	450	81.7874	0	0	0	0	0	0	2.2411e-08	115.487
45	0	0.7	0	0	56.6562	0	0	30.6	0	4.27707	0	126.987	0	0	26.7	0	1153.49	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	31.573	50	0	0	0	0	2.5	223.474	0.0417185	0	0	375	0	0	0	1.00194	0.442899	0.102912	450	81.7874	0	0	0	0	0	0	8.24457e-09	115.487
46	0	0.7	0	0	56.1106	0	0	30.6	0	4.26756	0	126.026	0	0	26.7	0	1147.83	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	31.26	50	0	0	0	0	2.5	221.875	0.0421353	0	0	375	0	0	0	1.0017	0.434129	0.102256	450	81.7874	0	0	0	0	0	0	3.03307e-09	115.487
47	0	0.7	0	0	55.5913	0	0	30.6	0	4.26392	0	125.094	0	0	26.7	0	1142.28	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	30.9748	50	0	0	0	0	2.5	220.324	0.0425656	0	0	375	0	0	0	1.00147	0.425533	0.101646	450	81.7874	0	0	0	0	0	0	1.11582e-09	115.487
48	0	0.7	0	0	55.0982	0	0	30.6	0	4.26562	0	124.193	0	0	26.7	0	1136.85	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	30.7162	50	0	0	0	0	2.5	218.819	0.043007	0	0	375	0	0	0	1.00124	0.417107	0.10108	450	81.7874	0	0	0	0	0	0	4.10469e-10	115.487
49	0	0.7	0	0	54.6305	0	0	30.6	0	4.27218	0	123.322	0	0	26.7	0	1131.54	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	30.4832	50	0	0	0	0	2.5	217.36	0.0434573	0	0	375	0	0	0	1.00102	0.408847	0.100557	450	81.7874	0	0	0	0	0	0	1.50992e-10	115.487
50	0	0.7	0	0	54.1728	0	0	30.6	0	4.27637	0	122.462	0	0	26.7	0	1126.26	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	30.2577	50	0	0	0	0	2.5	215.919	0.0423939	0	0	375	0	0	0	1.00085	0.650678	0.101554	450	81.7874	0	0	0	0	0	0	1.47152	115.488
51	0	0.7	0	0	53.685	0	0	30.6	0	4.26096	0	121.565	0	0	26.7	0	1120.8	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	29.9939	50	0	0	0	0	2.5	214.419	0.0404283	0	0	375	0	0	0	1.00082	0.729736	0.103343	450	81.7874	0	0	0	0	0	0	0.541342	115.488
52	0	0.7	0	0	53.1617	0	0	30.6	0	4.22544	0	120.624	0	0	26.7	0	1115.13	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	29.6863	50	0	0	0	0	2.5	212.849	0.0385943	0	0	375	0	0	0	1.00089	0.74911	0.104886	450	81.7874	0	0	0	0	0	0	0.199149	115.488
53	0	0.7	0	0	52.6106	0	0	30.6	0	4.17508	0	119.648	0	0	26.7	0	1109.28	0	8945.5	81.7874	0	0	70.3	2154.3	0	0	29.3449	50	0	0	0	0	2.5	211.222	0.0370979	0	0	375	0	0	0	1.00103	0.74672	0.105999	450	81.7874	0	0	0	0	0	0	0.0732626	115.488
