Time	[IAAm]	[IAAp]	[AuxTIR1]	[AuxTIAA]	[IAAs]	[ARFIAA]	[ARF2]	[Aux]	[PINm]	[PINp]	[ARm]	[ARp]	[TIR1]	[ARF]	[CRm]	[CRp]	[AHKph]	[Ck]	[ARRBph]	[ARRAph]	[ARRAm]	[ARRAp]	[ARRBp]	[CkAHKph]	[CkAHK]	[F1]	[F2]	[F3]	[F4]	[F5a]	[F5b]	[F6]
54	0.416042	1658.28	0.000848056	0.639143	0.639043	0.999397	3.54207e-07	2.63341e-05	0.0030163	0.0030159	6.0326e-05	6.03179e-05	0.360009	0.00060267	1.63511	1.63512	0.215634	0.995405	0.547304	0.0224196	0.0595311	0.0595209	1.4527	0.214642	0.569723	0.000227706	1.47553e-06	0.206787	0.817209	0.000287068	1.86019e-06	0.000602816
55	0.415995	1635.46	0.000873307	0.649117	0.649018	0.999388	3.63606e-07	2.78079e-05	0.00305822	0.00305779	6.11645e-05	6.11558e-05	0.350009	0.000611075	1.63439	1.6344	0.21553	0.995743	0.547154	0.0227039	0.0603102	0.0602991	1.45285	0.214612	0.569858	0.000230895	1.51498e-06	0.206743	0.816821	0.000291072	1.90983e-06	0.000611184
56	0.415943	1611.64	0.00089983	0.65909	0.658991	0.999379	3.73844e-07	2.94058e-05	0.00310334	0.00310287	6.20668e-05	6.20574e-05	0.34001	0.000620102	1.63361	1.63362	0.215427	0.99605	0.546988	0.0230095	0.0611489	0.0611371	1.45301	0.214575	0.569998	0.000234322	1.55797e-06	0.206694	0.816403	0.000295374	1.9639e-06	0.00062019
57	0.415883	1586.81	0.000927733	0.669062	0.668962	0.999369	3.85e-07	3.11423e-05	0.00315188	0.00315138	6.30376e-05	6.30275e-05	0.33001	0.000629798	1.63278	1.63278	0.215324	0.996328	0.546806	0.0233378	0.0620517	0.0620389	1.45319	0.214532	0.570144	0.000238003	1.60482e-06	0.20664	0.815953	0.000299993	2.02282e-06	0.000629878
58	0.415817	1560.98	0.000957136	0.679032	0.678932	0.999359	3.97167e-07	3.30342e-05	0.0032041	0.00320356	6.40821e-05	6.40713e-05	0.320011	0.000640212	1.63187	1.63188	0.21522	0.996578	0.546607	0.0236906	0.0630229	0.0630092	1.45339	0.214482	0.570298	0.000241958	1.65593e-06	0.206581	0.815469	0.000304956	2.08708e-06	0.000640302
59	0.415744	1534.15	0.000988172	0.689	0.688901	0.999348	4.10448e-07	3.51009e-05	0.00326031	0.00325972	6.52061e-05	6.51945e-05	0.310011	0.000651403	1.6309	1.63091	0.215114	0.996804	0.54639	0.0240696	0.0640681	0.0640533	1.45361	0.214426	0.57046	0.000246208	1.71173e-06	0.206517	0.814948	0.000310288	2.15724e-06	0.00065152
60	0.415663	1506.31	0.00102099	0.698967	0.698867	0.999336	4.24965e-07	3.73646e-05	0.00332081	0.00332019	6.64163e-05	6.64037e-05	0.300012	0.000663433	1.62986	1.62987	0.215007	0.997006	0.546154	0.0244769	0.0651929	0.065177	1.45385	0.214362	0.570631	0.000250779	1.77275e-06	0.206447	0.814388	0.00031602	2.23394e-06	0.000663597
61	0.415575	1477.46	0.00105576	0.708932	0.708832	0.999323	4.40855e-07	3.98518e-05	0.003386	0.00338532	6.772e-05	6.77065e-05	0.290013	0.000676376	1.62874	1.62875	0.214897	0.997186	0.545897	0.0249147	0.066404	0.0663869	1.4541	0.214291	0.570812	0.000255697	1.83956e-06	0.206371	0.813786	0.000322187	2.3179e-06	0.000676607
62	0.415479	1447.62	0.00109267	0.718894	0.718794	0.999309	4.5828e-07	4.25932e-05	0.00345629	0.00345556	6.91257e-05	6.91112e-05	0.280013	0.000690312	1.62753	1.62754	0.214784	0.997346	0.545618	0.0253856	0.0677089	0.0676905	1.45438	0.214213	0.571004	0.000260995	1.91284e-06	0.206288	0.813137	0.000328828	2.40999e-06	0.000690634
63	0.415373	1416.76	0.00113193	0.728854	0.728754	0.999294	4.77424e-07	4.56244e-05	0.00353215	0.00353137	7.06431e-05	7.06273e-05	0.270014	0.000705335	1.62623	1.62624	0.214666	0.997487	0.545315	0.0258925	0.0691161	0.0690962	1.45468	0.214126	0.571208	0.000266707	1.99339e-06	0.206199	0.812439	0.000335987	2.51119e-06	0.000705775
64	0.415259	1384.9	0.00117379	0.738811	0.738712	0.999277	4.98505e-07	4.89889e-05	0.00361414	0.00361329	7.22829e-05	7.22659e-05	0.260015	0.000721551	1.62483	1.62484	0.214544	0.997609	0.544987	0.0264387	0.0706351	0.0706137	1.45501	0.21403	0.571426	0.000272874	2.08212e-06	0.206101	0.811686	0.000343713	2.62266e-06	0.000722137
65	0.415135	1352.03	0.00121852	0.748766	0.748666	0.99926	5.21777e-07	5.27373e-05	0.00370289	0.00370196	7.40577e-05	7.40393e-05	0.250016	0.000739079	1.62332	1.62333	0.214416	0.997715	0.544631	0.027028	0.0722771	0.0722539	1.45537	0.213925	0.571659	0.000279542	2.18012e-06	0.205996	0.810874	0.000352066	2.74573e-06	0.000739845
66	0.415	1318.15	0.00126645	0.758717	0.758617	0.999241	5.47537e-07	5.6931e-05	0.0037991	0.00379809	7.59819e-05	7.59619e-05	0.240017	0.000758059	1.62169	1.6217	0.214281	0.997804	0.544245	0.0276645	0.0740545	0.0740294	1.45576	0.21381	0.571909	0.000286765	2.28865e-06	0.205881	0.809997	0.000361111	2.882e-06	0.000759042
67	0.414853	1283.27	0.00131793	0.768664	0.768565	0.99922	5.7614e-07	6.1644e-05	0.0039036	0.00390252	7.80721e-05	7.80503e-05	0.230018	0.000778651	1.61993	1.61995	0.214139	0.997878	0.543825	0.0283531	0.0759818	0.0759546	1.45618	0.213683	0.572178	0.000294604	2.40922e-06	0.205757	0.809049	0.000370924	3.03336e-06	0.000779894
