Time	[II_f]	[II_l]	[mIIa_f]	[mIIa_l]	[V_f]	[V_l]	[Va_f]	[Va_l]	[VII_f]	[VII_l]	[VIIa_f]	[VIIa_l]	[X_f]	[X_l]	[Xa_f]	[Xa_l]	[APC_f]	[APC_l]	[PS_f]	[PS_l]	[Vai_f]	[Vai_l]	[PC_f]	[PC_l]	[TF_l]	[TF_VIIa_l]	[TF_VII_l]	[TF_VIIa_X_l]	[TF_VIIa_Xa_l]	[TF_VII_Xa_l]	[Xa_Va_l]	[V_Xa_l]	[IIa_f]	[V_IIa_l]	[Xa_Va_II_l]	[Xa_Va_mIIa_l]	[APC_PS_l]	[TFPI_f]	[AT_f]	[IIa_AT_f]	[TFPI_Xa_l]	[TFPI_Xa_TF_VIIa_l]	[APC_PS_Va_l]	[Xa_AT_f]	[VII_Xa_l]	[V_mIIa_l]	[TM_l]	[IIa_TM_l]	[IIa_TM_PC_l]	[mIIa_AT_l]	[LIPID]	[alpha2M_l]	[alpha2M_IIa_l]	[alpha2M_Xa_l]
81	335.382	838.387	0.00923248	0.567192	0.00782476	1.56817	0.000625725	0.122211	0.163084	7.18236	0.002605	0.33375	35.1378	107.513	0.0109478	0.0566093	0.00616958	0.0513926	0.785853	114.212	6.94867e-05	0.0136123	18.4023	46.5117	0.000337741	0.00639645	0.00625154	0.00202254	0.00302781	2.94927e-07	0.00612724	0.00856299	0.0377843	0.000817735	0.00454323	0.000732819	0.996806	12.1995	4720.98	0.0134498	0.100317	0.000163621	0.00565363	0.00561706	0.000338822	0.0110512	0.917677	0.0563273	0.0259956	0.00330723	58135.3	363.999	0.000379579	0.000263619
82	335.374	838.334	0.010011	0.614976	0.00775935	1.55497	0.000667734	0.130405	0.162976	7.17734	0.00264482	0.338836	35.138	107.51	0.0109567	0.0566516	0.00672961	0.0560539	0.785254	114.12	8.19106e-05	0.0160446	18.3746	46.4399	0.00033257	0.00640907	0.0062279	0.00202647	0.00303377	2.94033e-07	0.00656167	0.00850516	0.0410727	0.000881591	0.00486512	0.000785143	1.08796	12.1974	4720.98	0.0147205	0.102415	0.000169928	0.00659181	0.00573598	0.000338841	0.0118838	0.910954	0.0609546	0.0280913	0.00361733	58133.2	363.999	0.000415441	0.0002692
83	335.365	838.277	0.0108441	0.666107	0.00768934	1.54084	0.000711401	0.13892	0.162868	7.17231	0.00268465	0.343922	35.1383	107.506	0.0109622	0.0566767	0.00733385	0.0610825	0.784607	114.021	9.63797e-05	0.018877	18.3448	46.3625	0.000327552	0.00642156	0.0062042	0.00203035	0.00303967	2.93045e-07	0.0070144	0.00843954	0.0446124	0.000949061	0.00520053	0.000839733	1.18635	12.1953	4720.97	0.0161012	0.104513	0.000176375	0.00766647	0.00585499	0.000338755	0.0127576	0.903797	0.0658858	0.0303171	0.00395341	58130.9	363.999	0.000454408	0.000274786
84	335.355	838.217	0.0117342	0.72072	0.00761451	1.52574	0.000756585	0.147729	0.162761	7.16729	0.00272447	0.349005	35.1386	107.503	0.0109648	0.0566865	0.00798494	0.0665004	0.783909	113.915	0.000113187	0.0221667	18.3126	46.2789	0.00032268	0.00643392	0.00618044	0.0020342	0.0030455	2.91975e-07	0.00748432	0.00836624	0.0484173	0.00102013	0.00554862	0.000896466	1.2924	12.1932	4720.97	0.0176003	0.10661	0.000182963	0.00889269	0.00597403	0.000338578	0.0136715	0.896196	0.0711291	0.0326753	0.00431726	58128.4	363.999	0.000496716	0.000280373
85	335.345	838.152	0.0126832	0.77894	0.00753469	1.50963	0.000803104	0.156796	0.162655	7.16227	0.00276428	0.354086	35.1391	107.499	0.0109649	0.0566836	0.00868558	0.0723296	0.783158	113.8	0.000132659	0.0259771	18.278	46.189	0.000317949	0.00644615	0.00615665	0.002038	0.00305127	2.90837e-07	0.00797	0.00828541	0.0525012	0.00109475	0.00590834	0.000955179	1.40656	12.1911	4720.97	0.0192266	0.108707	0.000189691	0.010286	0.00609309	0.000338325	0.0146234	0.888141	0.0766915	0.0351672	0.00471076	58125.7	363.999	0.000542612	0.00028596
86	335.334	838.083	0.013693	0.840881	0.00744967	1.49248	0.000850738	0.166077	0.162549	7.15726	0.00280407	0.359163	35.1397	107.496	0.0109631	0.0566709	0.00943845	0.0785926	0.782349	113.677	0.00015515	0.0303779	18.2407	46.0923	0.000313353	0.00645826	0.00613281	0.00204176	0.00305697	2.89647e-07	0.00846969	0.00819726	0.0568777	0.00117283	0.00627837	0.00101567	1.52925	12.189	4720.97	0.0209892	0.110803	0.000196561	0.0118622	0.00621215	0.000338012	0.0156108	0.879629	0.0825781	0.0377929	0.00513583	58122.8	363.999	0.000592356	0.000291548
87	335.323	838.01	0.0147652	0.906642	0.00735931	1.47426	0.000899221	0.17552	0.162444	7.15225	0.00284384	0.364234	35.1403	107.492	0.0109601	0.0566515	0.0102463	0.0853115	0.781481	113.544	0.000181051	0.035445	18.2007	45.9886	0.000308886	0.00647023	0.00610895	0.00204547	0.00306261	2.88421e-07	0.00898131	0.00810208	0.0615602	0.0012542	0.00665717	0.00107771	1.66093	12.1869	4720.97	0.0228978	0.112896	0.000203571	0.0136369	0.00633117	0.000337661	0.0166304	0.870657	0.0887917	0.0405516	0.00559447	58119.6	363.999	0.000646222	0.000297134
88	335.312	837.932	0.0159014	0.976306	0.00726346	1.45492	0.000948243	0.185064	0.162339	7.14724	0.00288358	0.3693	35.1411	107.488	0.0109564	0.056629	0.0111117	0.0925085	0.780549	113.402	0.000210783	0.0412603	18.1579	45.8774	0.000304544	0.00648207	0.00608505	0.00204915	0.00306818	2.87179e-07	0.00950247	0.0080002	0.0665614	0.00133867	0.00704296	0.00114102	1.80203	12.1848	4720.96	0.0249625	0.114988	0.000210722	0.0156249	0.00645016	0.000337291	0.0176783	0.861226	0.0953328	0.0434409	0.00608871	58116.3	363.999	0.000704492	0.000302718
89	335.299	837.85	0.0171024	1.04993	0.00716201	1.43447	0.000997451	0.194641	0.162236	7.14224	0.00292329	0.374361	35.1419	107.484	0.0109529	0.0566072	0.0120373	0.100205	0.779552	113.25	0.000244795	0.0479115	18.112	45.7585	0.000300321	0.00649378	0.00606114	0.00205278	0.00307369	2.85941e-07	0.0100305	0.00789199	0.0718932	0.00142597	0.00743373	0.00120527	1.95297	12.1827	4720.96	0.0271938	0.117078	0.000218014	0.01784	0.00656911	0.000336925	0.0187496	0.851343	0.102199	0.0464571	0.00662062	58112.7	363.999	0.000767463	0.000308301
90	335.287	837.763	0.0183691	1.12757	0.00705487	1.41286	0.00104645	0.204172	0.162133	7.13725	0.00296298	0.379416	35.1429	107.48	0.0109504	0.0565904	0.0130258	0.108423	0.778487	113.087	0.000283564	0.0554914	18.0631	45.6314	0.000296213	0.00650536	0.0060372	0.00205636	0.00307913	2.84726e-07	0.0105623	0.00777789	0.0775666	0.00151578	0.00782725	0.00127013	2.11417	12.1806	4720.96	0.0296025	0.119166	0.000225448	0.0202942	0.00668802	0.000336588	0.0198388	0.841018	0.109387	0.049595	0.00719232	58108.9	363.999	0.000835441	0.000313881
91	335.274	837.671	0.0197018	1.20924	0.006942	1.39011	0.0010948	0.213573	0.162031	7.13226	0.00300265	0.384466	35.144	107.476	0.0109496	0.0565828	0.0140796	0.117181	0.77735	112.914	0.00032759	0.0640972	18.0108	45.496	0.000292216	0.00651681	0.00601325	0.0020599	0.00308451	2.83558e-07	0.0110948	0.00765838	0.0835915	0.00160771	0.00822111	0.0013352	2.28602	12.1785	4720.95	0.0321997	0.121253	0.000233023	0.0229969	0.00680691	0.000336307	0.0209396	0.830266	0.116886	0.0528479	0.00780592	58104.8	363.999	0.000908741	0.000319461
92	335.26	837.575	0.0211005	1.29492	0.00682338	1.3662	0.00114204	0.222752	0.16193	7.12727	0.00304231	0.389513	35.1452	107.472	0.0109515	0.056589	0.0152011	0.126501	0.776139	112.729	0.000377388	0.073829	17.9553	45.352	0.000288324	0.00652814	0.00598929	0.0020634	0.00308982	2.82458e-07	0.0116243	0.00753396	0.0899764	0.00170131	0.00861269	0.00140007	2.46889	12.1764	4720.95	0.034997	0.123338	0.000240739	0.0259545	0.00692581	0.000336107	0.0220448	0.819106	0.124687	0.0562072	0.00846356	58100.5	363.999	0.000987686	0.000325042
93	335.246	837.474	0.0225645	1.38458	0.00669905	1.34115	0.00118768	0.231613	0.161829	7.12228	0.00308197	0.394558	35.1465	107.467	0.0109569	0.0566138	0.0163924	0.136398	0.774853	112.533	0.000433485	0.0847891	17.8962	45.199	0.000284533	0.00653934	0.00596533	0.00206686	0.00309507	2.81449e-07	0.0121472	0.00740516	0.0967278	0.00179603	0.00899926	0.0014643	2.66312	12.1743	4720.95	0.0380061	0.125423	0.000248597	0.0291692	0.00704475	0.000336017	0.0231468	0.807562	0.132775	0.059663	0.00916736	58095.9	363.999	0.00107261	0.000330624
94	335.232	837.368	0.024093	1.47817	0.00656908	1.31496	0.00123119	0.240055	0.161729	7.11729	0.00312165	0.399603	35.1479	107.463	0.0109669	0.0566619	0.0176557	0.146891	0.773488	112.325	0.000496406	0.0970793	17.8337	45.0369	0.000280839	0.00655041	0.00594135	0.00207027	0.00310025	2.80554e-07	0.0126597	0.00727251	0.10385	0.0018913	0.00937798	0.00152744	2.86903	12.1722	4720.94	0.0412388	0.127508	0.000256596	0.0326387	0.00716377	0.000336064	0.0242373	0.795664	0.141132	0.0632037	0.0099194	58091.1	363.998	0.00116384	0.00033621
95	335.218	837.258	0.0256845	1.57559	0.0064336	1.28767	0.00127206	0.247976	0.16163	7.1123	0.00316137	0.404649	35.1495	107.458	0.0109823	0.056738	0.0189928	0.157995	0.772043	112.105	0.00056667	0.1108	17.7675	44.8655	0.000277237	0.00656136	0.00591737	0.00207364	0.00310537	2.79795e-07	0.0131578	0.00713656	0.111347	0.00198646	0.00974592	0.00158901	3.08689	12.1701	4720.94	0.0447072	0.129595	0.000264737	0.0363555	0.00728293	0.000336276	0.0253075	0.783446	0.149738	0.0668162	0.0107217	58086	363.998	0.00126173	0.000341802
96	335.203	837.143	0.027337	1.67671	0.00629276	1.25931	0.00130976	0.255276	0.161531	7.1073	0.00320115	0.409701	35.1511	107.453	0.0110041	0.0568468	0.0204053	0.169722	0.770517	111.872	0.000644771	0.126047	17.6976	44.6845	0.000273723	0.00657218	0.00589339	0.00207697	0.00311043	2.79192e-07	0.0136376	0.00699783	0.119217	0.00208081	0.0101002	0.00164852	3.31693	12.168	4720.93	0.0484233	0.131684	0.00027302	0.040306	0.00740229	0.000336681	0.0263483	0.770947	0.158567	0.0704858	0.0115764	58080.6	363.998	0.00136661	0.000347404
97	335.188	837.024	0.0290482	1.78139	0.0061468	1.22992	0.00134381	0.261857	0.161433	7.1023	0.00324101	0.414759	35.1529	107.448	0.011033	0.0569928	0.0218948	0.182085	0.768908	111.627	0.000731173	0.142909	17.624	44.494	0.000270293	0.00658289	0.00586941	0.00208026	0.00311543	2.78767e-07	0.0140951	0.00685682	0.127457	0.00217357	0.0104377	0.0017055	3.55933	12.1659	4720.93	0.0523992	0.133777	0.000281445	0.0444703	0.00752193	0.000337304	0.0273502	0.758209	0.167594	0.0741967	0.0124853	58074.9	363.998	0.00147881	0.000353019
98	335.173	836.901	0.030815	1.88944	0.00599598	1.19957	0.00137371	0.267627	0.161336	7.09728	0.00328097	0.41983	35.1549	107.443	0.01107	0.0571803	0.0234623	0.195092	0.767215	111.37	0.000826292	0.161466	17.5467	44.2938	0.000266941	0.00659348	0.00584542	0.00208351	0.00312036	2.78538e-07	0.0145264	0.00671401	0.136061	0.00226394	0.0107558	0.00175948	3.81423	12.1638	4720.92	0.0566466	0.135874	0.000290014	0.048822	0.00764192	0.000338171	0.028304	0.74528	0.176788	0.0779321	0.0134503	58068.9	363.998	0.00159869	0.00035865
99	335.158	836.774	0.0326342	2.00065	0.00584062	1.1683	0.00139905	0.272502	0.161239	7.09225	0.00332108	0.424915	35.1569	107.438	0.0111158	0.0574133	0.0251088	0.208751	0.765439	111.1	0.000930485	0.181788	17.4655	44.0839	0.000263665	0.00660395	0.00582143	0.00208672	0.00312523	2.78521e-07	0.0149277	0.00656983	0.145019	0.00235109	0.0110516	0.00180998	4.08171	12.1617	4720.92	0.0611773	0.137979	0.000298725	0.0533284	0.00776236	0.000339303	0.0292002	0.732208	0.186118	0.0816741	0.014473	58062.7	363.998	0.00172655	0.000364303
100	335.144	836.643	0.0345017	2.11478	0.00568109	1.13621	0.00141943	0.27641	0.161142	7.0872	0.00336137	0.43002	35.1591	107.433	0.0111711	0.0576953	0.0268349	0.223066	0.763579	110.817	0.00104403	0.203927	17.3806	43.8643	0.000260459	0.0066143	0.00579744	0.00208989	0.00313005	2.78732e-07	0.0152956	0.00642466	0.154318	0.00243417	0.0113224	0.00185657	4.3618	12.1596	4720.91	0.0660023	0.140092	0.000307581	0.05795	0.00788335	0.000340722	0.03003	0.719047	0.195549	0.0854043	0.0155553	58056.2	363.998	0.00186272	0.000369981
