Time	[GP]	[pGP]	[mRNA]	[PEPCK]	[IRS]	[p1IRS]	[p2IRS]	[p1p2IRS]	[Akt]	[pAkt]	[mTOR]	[pmTOR]	[Foxo]	[pFoxo]	[PYRout]	[GLCex]	[F16P]	[PYRin]	[LAC]	[OAA]	[GLY]	[G1P]	[G6P]
60	0.643676	0.00122373	2.25802	0.703518	17.9735	17331.5	14741.7	123505	0.348895	0.769305	879.191	1.05914	4.94049e-07	1.0196e-05	34375.6	29931.8	172160	36875.2	3.79167e+07	3443.14	183032	194333	30497.3
61	0.643677	0.00122289	2.24787	0.702458	17.9382	17126.6	14868.6	124191	0.351816	0.766384	879.18	1.07012	4.94536e-07	1.01955e-05	34375.7	29952.8	169010	36866.7	3.79167e+07	3500.52	183037	194228	30518.4
62	0.643678	0.00122204	2.23777	0.701398	17.9039	16930.3	14993.2	124847	0.354661	0.763539	879.169	1.08091	4.95144e-07	1.01949e-05	34375.7	29973.7	165862	36858.2	3.79167e+07	3557.95	183041	194123	30539.5
63	0.643679	0.0012212	2.22772	0.70034	17.8706	16741.8	15115.5	125474	0.357433	0.760767	879.158	1.09151	4.95857e-07	1.01941e-05	34375.7	29994.7	162714	36849.7	3.79167e+07	3615.42	183046	194018	30560.6
64	0.64368	0.00122036	2.21771	0.699282	17.8382	16560.8	15235.5	126073	0.360136	0.758064	879.148	1.10195	4.96662e-07	1.01933e-05	34375.7	30015.6	159569	36841.2	3.79167e+07	3672.95	183050	193914	30581.6
65	0.64368	0.00121953	2.20775	0.698226	17.8067	16386.8	15353.3	126645	0.362772	0.755428	879.138	1.11221	4.97547e-07	1.01925e-05	34375.7	30036.6	156424	36832.7	3.79167e+07	3730.53	183054	193809	30602.7
66	0.643681	0.00121869	2.19784	0.69717	17.776	16219.3	15468.9	127192	0.365344	0.752856	879.128	1.1223	4.98501e-07	1.01915e-05	34375.7	30057.5	153281	36824.3	3.79167e+07	3788.17	183059	193704	30623.7
67	0.643682	0.00121786	2.18797	0.696115	17.7461	16058	15582.4	127714	0.367856	0.750344	879.118	1.13222	4.99514e-07	1.01905e-05	34375.7	30078.4	150140	36815.8	3.79167e+07	3845.85	183063	193600	30644.7
68	0.643683	0.00121703	2.17815	0.695061	17.717	15902.4	15693.8	128213	0.370309	0.747891	879.108	1.14198	5.00579e-07	1.01894e-05	34375.7	30099.3	147001	36807.3	3.79167e+07	3903.58	183068	193496	30665.6
69	0.643684	0.0012162	2.16838	0.694008	17.6886	15752.4	15803.1	128691	0.372706	0.745494	879.098	1.15158	5.01688e-07	1.01883e-05	34375.7	30120.2	143863	36798.9	3.79167e+07	3961.37	183072	193392	30686.5
70	0.643685	0.00121537	2.15865	0.692956	17.6609	15607.5	15910.5	129147	0.375048	0.743152	879.089	1.16102	5.02835e-07	1.01872e-05	34375.7	30141.1	140727	36790.4	3.79167e+07	4019.21	183077	193287	30707.5
71	0.643685	0.00121455	2.14896	0.691904	17.6338	15467.6	16015.8	129582	0.377339	0.740861	879.08	1.17031	5.04012e-07	1.0186e-05	34375.8	30162	137593	36782	3.79167e+07	4077.1	183081	193184	30728.3
72	0.643686	0.00121373	2.13932	0.690854	17.6075	15332.3	16119.3	129999	0.37958	0.73862	879.071	1.17945	5.05216e-07	1.01848e-05	34375.8	30182.8	134462	36773.6	3.79167e+07	4135.04	183086	193080	30749.2
73	0.643687	0.00121291	2.12973	0.689804	17.5817	15201.4	16220.9	130396	0.381772	0.736428	879.062	1.18844	5.06442e-07	1.01836e-05	34375.8	30203.7	131332	36765.1	3.79167e+07	4193.03	183090	192976	30770
74	0.643688	0.00121209	2.12018	0.688756	17.5565	15074.8	16320.6	130776	0.383918	0.734282	879.053	1.19728	5.07685e-07	1.01823e-05	34375.8	30224.5	128204	36756.7	3.79167e+07	4251.08	183095	192872	30790.7
