Time	[w]	[IFNb_mRNA]	[IFNb_env]	[STATP2n]	[SOCS1m]	[IRF7m]	[IRF7Pn]	[IFNa_mRNA]	[IFNa_env]	[TNFam]	[TNFenv]	[STATm]	[STAT]
63	0	0.000118084	3.69906e-11	1.61358e-15	7.24247e-10	9.42501e-20	3.14945e-15	9.717e-12	9.7884e-12	8.27479e-05	0.000194584	1.57445e-08	0.0056706
64	0	0.000118084	3.70886e-11	1.58097e-15	7.24217e-10	9.24145e-20	3.18306e-15	9.83017e-12	1.00805e-11	8.35219e-05	0.000197201	1.57445e-08	0.00542006
65	0	0.000118084	3.71866e-11	1.54835e-15	7.24244e-10	9.05736e-20	3.216e-15	9.94126e-12	1.03759e-11	8.42981e-05	0.000199841	1.57445e-08	0.00518083
66	0	0.000118084	3.72847e-11	1.51576e-15	7.24247e-10	8.873e-20	3.24827e-15	1.00503e-11	1.06747e-11	8.50763e-05	0.000202506	1.57445e-08	0.00495242
67	0	0.000118084	3.73827e-11	1.48322e-15	7.24244e-10	8.68865e-20	3.27989e-15	1.01572e-11	1.09766e-11	8.58566e-05	0.000205194	1.57445e-08	0.00473432
68	0	0.000118084	3.74807e-11	1.4508e-15	7.24232e-10	8.50448e-20	3.31084e-15	1.0262e-11	1.12817e-11	8.66388e-05	0.000207906	1.57445e-08	0.00452606
69	0	0.000118084	3.75787e-11	1.4185e-15	7.24242e-10	8.32075e-20	3.34113e-15	1.03647e-11	1.159e-11	8.74229e-05	0.000210643	1.57445e-08	0.00432721
70	0	0.000118084	3.76768e-11	1.38636e-15	7.24258e-10	8.13773e-20	3.37075e-15	1.04652e-11	1.19012e-11	8.82087e-05	0.000213403	1.57445e-08	0.00413734
71	0	0.000118084	3.77748e-11	1.35442e-15	7.24229e-10	7.95553e-20	3.39972e-15	1.05637e-11	1.22155e-11	8.89963e-05	0.000216188	1.57445e-08	0.00395605
72	0	0.000118084	3.78728e-11	1.32276e-15	7.24085e-10	7.77411e-20	3.42804e-15	1.06601e-11	1.25326e-11	8.97856e-05	0.000218997	1.57445e-08	0.00378294
73	0	0.000118084	3.79708e-11	1.29144e-15	7.23723e-10	7.59342e-20	3.45571e-15	1.07544e-11	1.28526e-11	9.05764e-05	0.000221831	1.57445e-08	0.00361764
74	0	0.000118084	3.80689e-11	1.26034e-15	7.23595e-10	7.41451e-20	3.48273e-15	1.08466e-11	1.31754e-11	9.13687e-05	0.000224688	1.57445e-08	0.00345981
75	0	0.000118084	3.81669e-11	1.22939e-15	7.24047e-10	7.23852e-20	3.50911e-15	1.09367e-11	1.35009e-11	9.21624e-05	0.00022757	1.57445e-08	0.00330911
76	0	0.000118084	3.82649e-11	1.19886e-15	7.24276e-10	7.06372e-20	3.53485e-15	1.10248e-11	1.38291e-11	9.29575e-05	0.000230477	1.57445e-08	0.00316522
77	0	0.000118084	3.8363e-11	1.16876e-15	7.24246e-10	6.89045e-20	3.55997e-15	1.11108e-11	1.41598e-11	9.37539e-05	0.000233408	1.57445e-08	0.00302782
78	0	0.000118084	3.8461e-11	1.13906e-15	7.24244e-10	6.71921e-20	3.58447e-15	1.11948e-11	1.44932e-11	9.45515e-05	0.000236363	1.57445e-08	0.00289663
79	0	0.000118084	3.8559e-11	1.10977e-15	7.24248e-10	6.55014e-20	3.60836e-15	1.12768e-11	1.48289e-11	9.53502e-05	0.000239343	1.57445e-08	0.00277136
80	0	0.000118084	3.8657e-11	1.08093e-15	7.24242e-10	6.38338e-20	3.63164e-15	1.13567e-11	1.51672e-11	9.615e-05	0.000242347	1.57445e-08	0.00265175
81	0	0.000118084	3.87551e-11	1.05254e-15	7.24235e-10	6.219e-20	3.65433e-15	1.14347e-11	1.55077e-11	9.69508e-05	0.000245376	1.57445e-08	0.00253754
82	0	0.000118084	3.88531e-11	1.02463e-15	7.24246e-10	6.05717e-20	3.67642e-15	1.15108e-11	1.58506e-11	9.77525e-05	0.000248429	1.57445e-08	0.00242849
83	0	0.000118084	3.89511e-11	9.9719e-16	7.24255e-10	5.89801e-20	3.69794e-15	1.1585e-11	1.61957e-11	9.8555e-05	0.000251507	1.57445e-08	0.00232436
84	0	0.000118084	3.90491e-11	9.70263e-16	7.24217e-10	5.74148e-20	3.7189e-15	1.16572e-11	1.6543e-11	9.93583e-05	0.000254609	1.57445e-08	0.00222494
