Time	[EpoRJAK2]	[EpoRpJAK2]	[p1EpoRpJAK2]	[p2EpoRpJAK2]	[p12EpoRpJAK2]	[EpoRJAK2_CIS]	[SHP1]	[SHP1Act]	[STAT5]	[pSTAT5]	[npSTAT5]	[CISnRNA1]	[CISnRNA2]	[CISnRNA3]	[CISnRNA4]	[CISnRNA5]	[CISRNA]	[CIS]	[SOCS3nRNA1]	[SOCS3nRNA2]	[SOCS3nRNA3]	[SOCS3nRNA4]	[SOCS3nRNA5]	[SOCS3RNA]	[SOCS3]	[Epo]
55	3.71204	0.134251	0.0187587	0.0782931	0.0328814	-1.36925e-28	26.5806	0.144512	48.8331	21.1515	14.2093	1359.13	1449	1468.06	1395.28	1233.28	0.12275	7.06015	0.0014118	0.00143332	0.00145492	0.00147657	0.00149822	0.044041	7.64783	1.24997e-07
56	3.71439	0.133699	0.0185778	0.0773632	0.0321907	-1.33332e-28	26.58	0.145088	49.3816	20.7615	13.9787	1340.43	1435.6	1464.57	1404.87	1255.8	0.124991	7.4496	0.00138908	0.00141048	0.00143198	0.00145356	0.00147518	0.0447602	7.77273	1.24997e-07
57	3.71664	0.133165	0.0184044	0.0764754	0.0315382	-1.23076e-28	26.5795	0.145644	49.9188	20.3814	13.7502	1321.58	1421.47	1459.7	1412.59	1276.45	0.127046	7.84357	0.00136654	0.00138778	0.00140915	0.00143063	0.00145219	0.0454568	7.89369	1.24997e-07
58	3.71878	0.13265	0.0182381	0.0756276	0.0309214	-1.10748e-28	26.5789	0.14618	50.4449	20.0109	13.5239	1302.6	1406.7	1453.54	1418.53	1295.23	0.128916	8.24135	0.0013442	0.00136526	0.00138648	0.00140783	0.00142929	0.0461308	8.01074	1.24997e-07
59	3.72083	0.132153	0.0180788	0.0748178	0.0303382	-1.00518e-28	26.5784	0.146699	50.9599	19.6499	13.3	1283.56	1391.36	1446.17	1422.75	1312.15	0.130601	8.64224	0.00132208	0.00134294	0.00136398	0.00138518	0.00140651	0.0467826	8.12393	1.24997e-07
60	3.72279	0.131674	0.0179261	0.0740443	0.0297864	-8.65511e-29	26.5779	0.1472	51.4638	19.298	13.0789	1264.49	1375.51	1437.69	1425.34	1327.26	0.132104	9.04554	0.0013002	0.00132085	0.00134169	0.00136271	0.00138388	0.0474125	8.23331	1.24997e-07
61	3.72466	0.131213	0.0177797	0.0733053	0.029264	-7.99362e-29	26.5774	0.147684	51.9569	18.955	12.8605	1245.42	1359.23	1428.19	1426.36	1340.57	0.133429	9.45059	0.00127858	0.00129899	0.00131961	0.00134043	0.00136143	0.0480207	8.33893	1.24997e-07
62	3.72644	0.130768	0.0176394	0.0725993	0.0287692	-8.75006e-29	26.5769	0.148151	52.4392	18.6209	12.645	1226.39	1342.58	1417.75	1425.9	1352.11	0.134579	9.85673	0.00125724	0.0012774	0.00129778	0.00131838	0.00133918	0.0486076	8.44085	1.24997e-07
63	3.72815	0.130339	0.017505	0.0719246	0.0283003	-9.30151e-29	26.5765	0.148604	52.9109	18.2952	12.4326	1207.43	1325.61	1406.45	1424.03	1361.94	0.135557	10.2633	0.00123618	0.00125607	0.00127621	0.00129657	0.00131715	0.0491736	8.53913	1.24997e-07
64	3.72978	0.129925	0.0173761	0.0712799	0.0278559	-9.89513e-29	26.5761	0.149041	53.372	17.978	12.2233	1188.56	1308.38	1394.37	1420.83	1370.11	0.13637	10.6698	0.00121541	0.00123504	0.00125491	0.00127502	0.00129537	0.0497188	8.63381	1.24997e-07
65	3.73134	0.129527	0.0172527	0.0706638	0.0274344	-1.20019e-28	26.5756	0.149465	53.8228	17.6688	12.0172	1169.82	1290.93	1381.58	1416.39	1376.65	0.137021	11.0754	0.00119496	0.0012143	0.0012339	0.00125375	0.00127384	0.0502438	8.72498	1.24997e-07
66	3.73283	0.129144	0.0171343	0.0700749	0.0270346	-1.26717e-28	26.5752	0.149875	54.2634	17.3677	11.8145	1151.21	1273.32	1368.15	1410.78	1381.63	0.137517	11.4798	0.00117482	0.00119386	0.00121318	0.00123276	0.00125259	0.0507488	8.81268	1.24997e-07
67	3.73426	0.128775	0.0170209	0.069512	0.0266551	-1.07423e-28	26.5748	0.150271	54.6939	17.0743	11.6151	1132.76	1255.59	1354.14	1404.07	1385.11	0.137864	11.8823	0.001155	0.00117375	0.00119277	0.00121206	0.00123162	0.0512343	8.89698	1.24997e-07
68	3.73562	0.12842	0.0169123	0.068974	0.0262949	-8.40492e-29	26.5744	0.150655	55.1145	16.7884	11.4191	1114.5	1237.77	1339.63	1396.35	1387.14	0.138066	12.2824	0.00113551	0.00115395	0.00117267	0.00119168	0.00121095	0.0517006	8.97795	1.24997e-07
69	3.73692	0.128078	0.0168082	0.0684597	0.0259528	-6.34952e-29	26.5741	0.151028	55.5253	16.51	11.2265	1096.43	1219.91	1324.67	1387.68	1387.8	0.138131	12.6797	0.00111635	0.00113448	0.0011529	0.0011716	0.00119058	0.052148	9.05565	1.24997e-07
70	3.73817	0.127749	0.0167085	0.0679682	0.0256278	-4.76147e-29	26.5737	0.151388	55.9264	16.2388	11.0374	1078.56	1202.03	1309.32	1378.13	1387.13	0.138065	13.0736	0.00109753	0.00111535	0.00113346	0.00115185	0.00117054	0.052577	9.13015	1.24997e-07
71	3.73936	0.127433	0.016613	0.0674983	0.0253191	-4.1767e-29	26.5734	0.151738	56.3182	15.9747	10.8518	1060.92	1184.17	1293.62	1367.77	1385.21	0.137874	13.4638	0.00107905	0.00109655	0.00111435	0.00113243	0.00115081	0.052988	9.20152	1.24997e-07
72	3.74049	0.127129	0.0165215	0.0670493	0.0250257	-3.1953e-29	26.573	0.152077	56.7006	15.7174	10.6697	1043.51	1166.35	1277.64	1356.68	1382.1	0.137565	13.8498	0.00106092	0.00107809	0.00109557	0.00111334	0.00113141	0.0533813	9.26982	1.24997e-07
73	3.74158	0.126837	0.016434	0.06662	0.0247469	-2.54301e-29	26.5727	0.152406	57.0739	15.4669	10.4912	1026.34	1148.61	1261.41	1344.91	1377.87	0.137144	14.2313	0.00104312	0.00105998	0.00107713	0.00109459	0.00111234	0.0537574	9.33512	1.24997e-07
