Time	[TNF{cytoplasm}]	[TNFR1]	[TRADD_TRAF2_RIP]	[IkB]	[NIK]	[IkK_NFkB]	[NFkB{cytoplasm}]	[MEKK1]	[MKK4/7]	[JNK{cytoplasm}]	[ASK]	[p38{cytoplasm}]	[LPG]	[CD14-TLR]	[MyD88]	[IRAK1/4]	[TRAF6]	[TAB2_TAK1_TAB1]	[MKK1/2]	[ERK1/2{cytoplasm}]	[MKK3/6]	[EGF]	[EGFR]	[PLC gamma]	[PIP2]	[DAG]	[PKC]	[PI3K]	[Akt{cytoplasm}]	[Shc/Grb2/Sos1]	[Ras]	[Raf]	[JAK]	[STAT1/3{cytoplasm}]	[NFkB{nucleus}]	[JNK{nucleus}]	[cjun]	[p38{nucleus}]	[cfos]	[ERK1/2{nucleus}]	[Akt{nucleus}]	[STAT1/3{nucleus}]	[TNF{nucleus}]
89	4.31931e-13	6.24496e-13	5.57769e-14	2.94847e-14	6.70687e-15	7.98675e-15	1.67344e-13	3.92898e-15	1.87409e-08	2.98635e-07	1.15715e-14	1.07573e-12	9.84836e-24	4.22072e-24	7.0344e-23	6.50318e-20	8.61021e-17	6.66378e-19	2.41524e-08	4.94007e-07	1.39838e-14	1.05049e-23	1.05294e-20	1.39915e-22	3.45483e-23	3.80556e-13	1.7411e-14	5.24447e-19	1.609e-07	4.45098e-07	4.45097e-07	2.22548e-07	5.19024e-22	1.75314e-07	4.58018e-14	1.11165e-07	12.3208	1.50452e-13	19.4201	7.3298	3.61425	2.72505	3.33757e-13
90	3.04379e-13	4.40076e-13	3.93055e-14	2.07775e-14	4.72625e-15	5.62824e-15	1.17926e-13	2.76871e-15	1.53438e-08	2.44502e-07	8.15432e-15	7.58051e-13	5.40814e-24	2.31777e-24	3.86289e-23	3.75634e-20	5.33095e-17	4.12583e-19	1.97744e-08	4.04463e-07	9.85425e-15	5.76868e-24	6.05098e-21	7.919e-23	1.95501e-23	2.6818e-13	1.22697e-14	3.09291e-19	1.31734e-07	3.64416e-07	3.64415e-07	1.82207e-07	2.98384e-22	1.44978e-07	3.22764e-14	9.10145e-08	12.3208	1.06022e-13	19.4201	7.3298	3.61425	2.72505	2.35197e-13
91	2.14494e-13	3.10118e-13	2.76982e-14	1.46417e-14	3.33054e-15	3.96622e-15	8.31025e-14	1.95109e-15	1.25625e-08	2.00182e-07	5.74629e-15	5.34189e-13	2.97075e-24	1.27318e-24	2.12193e-23	2.16989e-20	3.3006e-17	2.55447e-19	1.61899e-08	3.31148e-07	6.94421e-15	3.1688e-24	3.47769e-21	4.48492e-23	1.10701e-23	1.88988e-13	8.6465e-15	1.82393e-19	1.07855e-07	2.98359e-07	2.98358e-07	1.49179e-07	1.71554e-22	1.19891e-07	2.27451e-14	7.45165e-08	12.3208	7.47121e-14	19.4201	7.32981	3.61425	2.72505	1.65742e-13
92	1.51153e-13	2.18538e-13	1.95188e-14	1.03178e-14	2.347e-15	2.79499e-15	5.85622e-14	1.37492e-15	1.02853e-08	1.63895e-07	4.04937e-15	3.76438e-13	1.63216e-24	6.99497e-25	1.16581e-23	1.25342e-20	2.04347e-17	1.58153e-19	1.32552e-08	2.71123e-07	4.89353e-15	1.74097e-24	1.9987e-21	2.54131e-23	6.27155e-24	1.33181e-13	6.09324e-15	1.07546e-19	8.83041e-08	2.44276e-07	2.44275e-07	1.22137e-07	9.863e-23	9.91449e-08	1.60284e-14	6.1009e-08	12.3208	5.26488e-14	19.4201	7.32981	3.61425	2.72505	1.16798e-13
93	1.06517e-13	1.54003e-13	1.37548e-14	7.27089e-15	1.65391e-15	1.96963e-15	4.12687e-14	9.68894e-16	8.42088e-09	1.34186e-07	2.85357e-15	2.65272e-13	8.96079e-25	3.84034e-25	6.40049e-24	7.2388e-21	1.26509e-17	9.79102e-20	1.08525e-08	2.21978e-07	3.44844e-15	9.55818e-25	1.14844e-21	1.44011e-23	3.5533e-24	9.38531e-14	4.29393e-15	6.33997e-20	7.22973e-08	1.99996e-07	1.99996e-07	9.99977e-08	5.66915e-23	8.19888e-08	1.12952e-14	4.995e-08	12.3208	3.71011e-14	19.4201	7.32981	3.61425	2.72505	8.23072e-14
94	7.50629e-14	1.08526e-13	9.69303e-15	5.1238e-15	1.16551e-15	1.38801e-15	2.90824e-14	6.82783e-16	6.89444e-09	1.09863e-07	2.01092e-15	1.86937e-13	4.92666e-25	2.11143e-25	3.51901e-24	4.18249e-21	7.83287e-18	6.06217e-20	8.88526e-09	1.81741e-07	2.43013e-15	5.25511e-25	6.60231e-22	8.1709e-24	2.01573e-24	6.61394e-14	3.02599e-15	3.73827e-20	5.91921e-08	1.63743e-07	1.63743e-07	8.18714e-08	3.2602e-23	6.78015e-08	7.95981e-15	4.08957e-08	12.3208	2.61452e-14	19.4201	7.32981	3.61425	2.72505	5.80024e-14
95	5.28986e-14	7.6481e-14	6.8309e-15	3.61085e-15	8.21363e-16	9.7817e-16	2.04951e-14	4.81173e-16	5.6447e-09	8.9948e-08	1.41714e-15	1.31739e-13	2.7124e-25	1.16246e-25	1.93741e-24	2.41804e-21	4.85083e-18	3.75425e-20	7.27465e-09	1.48798e-07	1.71256e-15	2.89323e-25	3.79811e-22	4.64198e-24	1.14496e-24	4.66105e-14	2.13251e-15	2.20501e-20	4.84625e-08	1.34062e-07	1.34062e-07	6.70307e-08	1.87606e-23	5.60691e-08	5.60949e-15	3.34826e-08	12.3208	1.8425e-14	19.4201	7.32981	3.61425	2.72505	4.08758e-14
96	3.72788e-14	5.38977e-14	4.81388e-15	2.54464e-15	5.78831e-16	6.89341e-16	1.44434e-14	3.39092e-16	4.6215e-09	7.36434e-08	9.98689e-16	9.28387e-14	1.4909e-25	6.38959e-26	1.06492e-24	1.3974e-21	3.00381e-18	2.32477e-20	5.95599e-09	1.21826e-07	1.20688e-15	1.5903e-25	2.18398e-22	2.63619e-24	6.50116e-25	3.28478e-14	1.50284e-15	1.30021e-20	3.96778e-08	1.09761e-07	1.09761e-07	5.48802e-08	1.07908e-23	4.63669e-08	3.95314e-15	2.74133e-08	12.3208	1.29845e-14	19.4201	7.32981	3.61425	2.72505	2.88061e-14
97	2.62712e-14	3.79829e-14	3.39244e-15	1.79325e-15	4.07914e-16	4.85795e-16	1.01786e-14	2.38965e-16	3.78377e-09	6.02942e-08	7.03797e-16	6.54252e-14	8.19976e-26	3.51418e-26	5.85693e-25	8.07607e-22	1.86002e-18	1.43954e-20	4.87636e-09	9.97429e-08	8.50513e-16	8.74641e-26	1.25592e-22	1.49804e-24	3.69374e-25	2.31487e-14	1.05909e-15	7.66616e-21	3.24855e-08	8.98646e-08	8.98645e-08	4.49322e-08	6.20712e-24	3.83436e-08	2.78587e-15	2.24442e-08	12.3208	9.15039e-15	19.4201	7.32981	3.61425	2.72505	2.03003e-14
98	1.8514e-14	2.67674e-14	2.39074e-15	1.26375e-15	2.87466e-16	3.42353e-16	7.17313e-15	1.68405e-16	3.09789e-09	4.93648e-08	4.95983e-16	4.61066e-14	4.51687e-26	1.9358e-26	3.22631e-25	4.66917e-22	1.15184e-18	8.91453e-21	3.99244e-09	8.16628e-08	5.99377e-16	4.818e-26	7.2254e-23	8.52235e-25	2.10104e-25	1.63136e-14	7.46373e-16	4.5207e-21	2.65969e-08	7.3575e-08	7.3575e-08	3.67875e-08	3.57194e-24	3.17086e-08	1.96328e-15	1.83757e-08	12.3208	6.44848e-15	19.4201	7.32981	3.61425	2.72505	1.43062e-14
99	1.30473e-14	1.88638e-14	1.68482e-15	8.90595e-16	2.02585e-16	2.41266e-16	5.05512e-15	1.18679e-16	2.53634e-09	4.04165e-08	3.49533e-16	3.24925e-14	2.48318e-26	1.06422e-26	1.77369e-25	2.69861e-22	7.13272e-19	5.52031e-21	3.26874e-09	6.68601e-08	4.22397e-16	2.64873e-26	4.15525e-23	4.84635e-25	1.1946e-25	1.14967e-14	5.25993e-16	2.66524e-21	2.17757e-08	6.02382e-08	6.02382e-08	3.01191e-08	2.05472e-24	2.62218e-08	1.38358e-15	1.50448e-08	12.3208	4.54441e-15	19.4201	7.32981	3.61425	2.72505	1.0082e-14
100	9.19504e-15	1.32941e-14	1.18736e-15	6.27641e-16	1.42771e-16	1.70032e-16	3.56257e-15	8.36385e-17	2.07659e-09	3.30903e-08	2.46331e-16	2.28989e-14	1.36505e-26	5.85023e-27	9.75035e-26	1.55998e-22	4.41742e-19	3.41882e-21	2.67622e-09	5.47406e-08	2.97681e-16	1.45606e-26	2.39009e-23	2.75735e-25	6.79563e-26	8.10229e-15	3.70693e-16	1.57147e-21	1.78285e-08	4.9319e-08	4.9319e-08	2.46595e-08	1.18216e-24	2.16844e-08	9.75072e-16	1.23177e-08	12.3208	3.20264e-15	19.4201	7.32981	3.61425	2.72505	7.10522e-15
