Time	[b_Met]	[b_Ser]	[GAR]	[NADPH]	[Betaine]	[dUMP]	[Folate]	[H2O2]	[CO2]	[Formaldehyde]	[c_THF]	[m_THF]	[c_5-methyl-THF]	[c_5-10-methylene-THF]	[c_5-10-methenyl-THF]	[c_10-formyl-THF]	[c_DHF]	[m_5-10-methylene-THF]	[m_5-10-methenyl-THF]	[m_10-formyl-THF]	[b_Glycine]	[b_Glutamate]	[b_Cysteine]	[b_GSSG]	[b_GSH]	[AICAR]	[c_Glutamate]	[c_Cysteine]	[Glutamyl-Cysteine]	[c_Glycine]	[c_GSSG]	[c_GSH]	[Cystathione]	[Homocysteine]	[c_Serine]	[S-adenosylhomocysteine]	[S-adenosylmethionine]	[c_Methionine]	[c_formate]	[m_Serine]	[m_Glycine]	[m_Formate]	[Sarcosine]	[Dimethylglycine]
51	7.5	37.5	10	50	50	20	20.1	0.01	0	500	1.32035	21.5168	9.46851	0.244137	0.149447	2.19931	0.0182377	1.51382	1.46001	15.7094	99.4215	54.341	175.246	0.474688	12.5604	0.960165	3035.34	151.101	11.3867	487.411	60.0626	6297.16	6.62032	0.887982	229.791	7.12447	18.792	27.5706	27.5288	638.488	1165.86	96.616	5.41131	0.65428
52	7.5	37.5	10	50	50	20	20.1	0.01	0	500	1.26979	21.8623	9.56519	0.239172	0.146703	2.16129	0.0178598	1.47194	1.43365	15.4321	96.033	53.0722	174.394	0.470751	12.5046	0.960816	2955.72	151.837	11.6971	455.845	59.5588	6191.74	5.60358	0.883207	214.983	6.97188	18.1776	27.5181	28.1926	535.601	1071.5	98.3363	5.27204	0.644605
53	7.5	37.5	10	50	50	20	20.1	0.01	0	500	1.30616	22.188	9.53772	0.239643	0.146922	2.15166	0.0178956	1.44179	1.41412	15.1561	93.68	51.9207	173.473	0.466615	12.4445	0.960982	2883.83	153.116	11.9179	435.313	59.0299	6084.44	5.31505	0.888414	206.047	6.97705	18.2214	27.5859	26.9684	477.864	1012.4	94.5389	5.22908	0.641379
54	7.5	37.5	10	50	50	20	20.1	0.01	0	500	1.36082	22.4467	9.48367	0.241152	0.14771	2.14864	0.0180103	1.42058	1.40013	14.9326	91.9769	50.8536	172.496	0.46237	12.3805	0.961034	2817.53	154.361	12.0433	422.052	58.4871	5976.96	5.23852	0.895057	200.47	7.01647	18.3994	27.6674	25.5377	443.508	974.95	90.1784	5.21707	0.640366
55	52.5	262.5	10	50	50	20	20.1	0.01	0	500	1.4089	22.6323	9.43432	0.242567	0.148454	2.14764	0.018118	1.40607	1.39045	14.7712	90.6777	49.8557	171.467	0.458046	12.3129	0.961051	2755.87	155.399	12.091	413.509	57.9344	5869.89	5.22532	0.900668	196.928	7.05559	18.5705	27.7328	24.4432	422.388	951.043	86.8529	5.21548	0.640164
56	52.5	262.5	10	50	50	20	20.1	0.01	0	500	4.16141	21.4135	5.10141	0.489938	0.271256	3.33869	0.0372983	1.62015	1.52236	15.644	278.561	59.7897	187.288	0.455376	12.2873	0.943657	3017.14	185.363	9.79913	836.565	57.5998	5832.29	24.2355	1.04294	543.374	15.4897	76.1302	76.4706	13.7104	1109.85	1515.78	57.4215	8.26458	0.662615
57	52.5	262.5	10	50	50	20	20.1	0.01	0	500	5.71932	21.3723	3.16291	0.564981	0.30414	3.60538	0.0432681	1.6438	1.53588	15.648	354.204	62.5359	187.602	0.456244	12.3124	0.940398	3191.04	195.326	9.5561	1058.84	57.715	5870.96	41.562	1.24615	611.465	26.8419	124.015	68.5617	11.8763	1783.48	2064.83	52.2167	10.6195	0.69089
58	52.5	262.5	10	50	50	20	20.1	0.01	0	500	6.28831	21.4394	2.48409	0.587816	0.313798	3.68089	0.0450983	1.64091	1.53403	15.5857	408.825	64.6439	188.271	0.458849	12.3584	0.939515	3320.23	199.406	9.55497	1175.5	58.0498	5943.36	51.1622	1.33068	657.433	36.2216	158.752	59.4416	11.4272	2307.66	2384.49	50.9035	11.2697	0.666621
59	7.5	37.5	10	50	50	20	20.1	0.01	0	500	5.56291	21.3737	3.60021	0.509095	0.279823	3.40914	0.0388204	1.64379	1.53586	15.6466	140.675	55.0346	172.293	0.460869	12.3776	0.942733	3098.67	173.673	9.52645	862.405	58.3032	5973.27	41.4125	1.56169	346.909	30.2573	92.0854	25.208	11.8977	1891.9	2163.12	52.2135	10.4618	0.901117
60	52.5	262.5	10	50	50	20	20.1	0.01	0	500	3.58944	21.2265	6.14772	0.404176	0.231379	2.99671	0.0305707	1.63632	1.53211	15.8051	114.546	52.7166	172.04	0.460135	12.3577	0.948047	2945.59	166.97	10.1463	655.675	58.2061	5940.73	25.1312	1.20208	296.706	13.7817	44.6587	28.4383	14.3706	1302.4	1670.19	59.1922	8.24935	0.819289
