Time	[IkBat]	[IkBa]	[IkBan]	[IkBaIKK]	[IkBaNFkB]	[IkBaNFkBn]	[IkBaIKKNFkB]	[NFkB]	[IKK]	[NFkBn]	[IkBbIKK]	[IkBbIKKNFkB]	[IkBbNFkBn]	[IkBbNFkB]	[IkBbn]	[IkBb]	[IkBbt]	[IkBet]	[IkBe]	[IkBen]	[IkBeNFkB]	[IkBeNFkBn]	[IkBeIKKNFkB]	[IkBeIKK]
59	0.00917644	0.0144541	0.000727898	3.88887e-05	0.053123	0.000178674	0.000452134	3.89174e-05	0.000332785	0.00692401	1.61422e-06	0.000125204	3.98201e-05	0.0293053	8.18595e-05	0.00187175	0.00159912	0.00114095	0.0013319	5.82451e-05	0.00973689	2.83305e-05	4.78173e-05	1.55647e-06
60	0.00930089	0.0146958	0.000740835	3.96432e-05	0.0531206	0.000181873	0.000451715	3.88308e-05	0.000332519	0.00691897	1.63563e-06	0.000125113	4.03243e-05	0.0293056	8.28345e-05	0.00189293	0.00161485	0.00115217	0.00134702	5.89407e-05	0.0097405	2.86903e-05	4.77974e-05	1.5772e-06
61	0.00942309	0.0149344	0.000753839	4.03892e-05	0.0531212	0.000184997	0.000451312	3.87435e-05	0.000332246	0.00691064	1.65662e-06	0.000125021	4.08097e-05	0.0293062	8.38138e-05	0.00191376	0.00163031	0.0011632	0.00136188	5.96394e-05	0.00974428	2.90367e-05	4.77774e-05	1.59751e-06
62	0.00954298	0.0151698	0.000766911	4.11261e-05	0.0531248	0.000188044	0.000450927	3.86558e-05	0.000331968	0.0068991	1.67718e-06	0.000124927	4.12765e-05	0.029307	8.47981e-05	0.00193425	0.00164551	0.00117404	0.0013765	6.03416e-05	0.00974821	2.93698e-05	4.77573e-05	1.6174e-06
63	0.00966052	0.0154019	0.00078005	4.18536e-05	0.0531312	0.000191011	0.00045056	3.85675e-05	0.000331684	0.00688445	1.69733e-06	0.000124832	4.17247e-05	0.029308	8.57877e-05	0.0019544	0.00166046	0.00118471	0.00139087	6.10476e-05	0.00975229	2.96897e-05	4.7737e-05	1.63689e-06
64	0.00977566	0.0156306	0.000793256	4.25714e-05	0.0531403	0.000193896	0.000450209	3.84789e-05	0.000331396	0.00686677	1.71706e-06	0.000124735	4.21545e-05	0.0293092	8.67831e-05	0.00197421	0.00167516	0.0011952	0.00140501	6.17577e-05	0.00975652	2.99964e-05	4.77166e-05	1.65598e-06
65	0.00988836	0.0158557	0.000806528	4.3279e-05	0.0531521	0.000196698	0.000449875	3.839e-05	0.000331103	0.00684617	1.73639e-06	0.000124637	4.25659e-05	0.0293107	8.77847e-05	0.0019937	0.00168961	0.00120551	0.00141891	6.24721e-05	0.00976089	3.029e-05	4.76961e-05	1.67467e-06
66	0.0099986	0.0160772	0.000819865	4.39762e-05	0.0531666	0.000199414	0.000449557	3.83009e-05	0.000330806	0.00682274	1.75532e-06	0.000124537	4.29591e-05	0.0293123	8.87929e-05	0.00201287	0.00170383	0.00121565	0.00143259	6.31912e-05	0.00976539	3.05707e-05	4.76755e-05	1.69298e-06
67	0.0101063	0.016295	0.000833265	4.46626e-05	0.0531835	0.000202043	0.000449256	3.82117e-05	0.000330505	0.00679658	1.77386e-06	0.000124437	4.33342e-05	0.0293141	8.98081e-05	0.00203172	0.00171781	0.00122563	0.00144603	6.39153e-05	0.00977003	3.08384e-05	4.7655e-05	1.71091e-06
68	0.0102115	0.016509	0.000846727	4.53379e-05	0.0532029	0.000204583	0.000448971	3.81224e-05	0.000330201	0.00676779	1.79201e-06	0.000124335	4.36913e-05	0.0293161	9.08304e-05	0.00205025	0.00173155	0.00123543	0.00145926	6.46444e-05	0.00977478	3.10934e-05	4.76344e-05	1.72846e-06
69	0.0103142	0.0167191	0.00086025	4.60018e-05	0.0532246	0.000207032	0.000448702	3.80331e-05	0.000329894	0.00673647	1.80978e-06	0.000124233	4.40306e-05	0.0293183	9.18603e-05	0.00206848	0.00174507	0.00124508	0.00147227	6.53789e-05	0.00977965	3.13357e-05	4.76138e-05	1.74564e-06
70	0.0104143	0.0169252	0.000873831	4.66541e-05	0.0532486	0.00020939	0.000448449	3.79439e-05	0.000329584	0.00670272	1.82718e-06	0.00012413	4.43523e-05	0.0293206	9.2898e-05	0.00208641	0.00175836	0.00125456	0.00148506	6.61189e-05	0.00978464	3.15654e-05	4.75932e-05	1.76247e-06
