Time	[C1]	[C2]	[C3]	[IC3]	[IC2]	[IM1]	[IM2]	[open states]	[IF]
86	0.000162527	0.0121824	0.369816	0.477636	0.0158832	0.123842	0.000150652	4.46217e-07	0.000327459
87	0.000164	0.012293	0.373174	0.475748	0.0158192	0.122325	0.000151417	4.49485e-07	0.000325187
88	0.000165452	0.0124021	0.376486	0.473889	0.0157561	0.120826	0.000152173	4.52708e-07	0.000322945
89	0.000166884	0.0125097	0.379753	0.472056	0.015694	0.119346	0.000152918	4.55888e-07	0.000320733
90	0.000168297	0.0126158	0.382975	0.470251	0.0156327	0.117884	0.000153654	4.59023e-07	0.000318549
91	0.00016969	0.0127205	0.386154	0.468472	0.0155724	0.11644	0.00015438	4.62116e-07	0.000316394
92	0.000171065	0.0128238	0.389289	0.46672	0.0155129	0.115014	0.000155097	4.65166e-07	0.000314268
93	0.000172421	0.0129256	0.392381	0.464993	0.0154544	0.113605	0.000155804	4.68175e-07	0.000312169
94	0.000173758	0.0130261	0.395432	0.463291	0.0153966	0.112213	0.000156502	4.71143e-07	0.000310098
95	0.000175077	0.0131252	0.398441	0.461615	0.0153397	0.110839	0.000157191	4.7407e-07	0.000308054
96	0.000176378	0.013223	0.401409	0.459963	0.0152837	0.109481	0.000157871	4.76957e-07	0.000306037
97	0.000177662	0.0133194	0.404337	0.458335	0.0152284	0.10814	0.000158541	4.79805e-07	0.000304047
98	0.000178928	0.0134146	0.407225	0.456731	0.015174	0.106816	0.000159203	4.82614e-07	0.000302082
99	0.000180177	0.0135084	0.410073	0.45515	0.0151204	0.105507	0.000159856	4.85385e-07	0.000300143
100	0.000181409	0.013601	0.412883	0.453593	0.0150675	0.104215	0.000160501	4.88118e-07	0.00029823
