Time	[G6P]	[ATP]	[ADP]	[Pint]	[F6P]	[FBP]	[G3P]	[BPG]	[PEP]	[NAD]	[NADH]	[PYR]	[AcetCoA]	[Acetoin]	[Mannitol]	[Mannitol1Phosphate]	[CoA]	[Pext]	[Lactate]	[Ethanol]	[Acetate]	[Butanediol]	[Glucose]	[Acetoin_Ext]	[Mannitol_Ext]	[Formate]
49	0.441254	5.8401	19.4319	2.60189	0.159321	34.6552	1.36504	0.0688026	4.71429	4.60484	0.0651628	0.00109505	2.43315e-08	3.40667e-07	0.000499212	0.974044	1	47.6844	11.2602	1.99564e-09	1.13949e-05	5.61912e-07	73.3292	8.79536e-05	0.000280761	1.1398e-05
50	0.438903	5.83382	19.4382	2.60756	0.158551	34.8065	1.36813	0.0685152	4.70584	4.60369	0.0663151	0.00107745	2.38954e-08	3.29801e-07	0.000495182	0.964232	1	47.6358	11.4683	1.99605e-09	1.15001e-05	5.62418e-07	73.2188	8.82371e-05	0.000277529	1.15032e-05
51	0.436595	5.82756	19.4445	2.61316	0.157796	34.9565	1.37119	0.0682331	4.69761	4.60254	0.0674624	0.00106054	2.34766e-08	3.19528e-07	0.000491223	0.954633	1	47.5875	11.6756	1.99648e-09	1.16034e-05	5.62915e-07	73.1089	8.85116e-05	0.00027437	1.16065e-05
52	0.43433	5.82133	19.4507	2.61869	0.157053	35.1053	1.37422	0.0679563	4.68957	4.6014	0.0686046	0.00104429	2.30744e-08	3.09808e-07	0.000487336	0.945247	1	47.5396	11.882	1.99691e-09	1.1705e-05	5.63405e-07	72.9994	8.87777e-05	0.000271282	1.17081e-05
53	0.432105	5.81514	19.4569	2.62415	0.156323	35.253	1.37722	0.067685	4.68174	4.60026	0.0697412	0.00102866	2.26878e-08	3.00605e-07	0.000483524	0.936074	1	47.492	12.0876	1.99735e-09	1.18049e-05	5.63888e-07	72.8903	8.90358e-05	0.000268267	1.18079e-05
54	0.429921	5.809	19.463	2.62955	0.155606	35.3995	1.38019	0.0674191	4.67411	4.59913	0.0708721	0.00101364	2.23162e-08	2.91884e-07	0.000479786	0.927113	1	47.4448	12.2924	1.9978e-09	1.19031e-05	5.64363e-07	72.7817	8.92863e-05	0.000265325	1.19062e-05
55	0.427776	5.80291	19.4691	2.63489	0.154901	35.5448	1.38313	0.0671588	4.66669	4.59801	0.0719969	0.000999181	2.19588e-08	2.83614e-07	0.000476123	0.918365	1	47.398	12.4963	1.99825e-09	1.19998e-05	5.64832e-07	72.6736	8.95297e-05	0.000262454	1.20028e-05
56	0.425669	5.79688	19.4751	2.64017	0.154208	35.6889	1.38604	0.0669041	4.65946	4.59689	0.0731153	0.000985268	2.1615e-08	2.75768e-07	0.000472536	0.90983	1	47.3515	12.6995	1.99872e-09	1.20949e-05	5.65294e-07	72.5658	8.97662e-05	0.000259655	1.2098e-05
57	0.4236	5.79092	19.4811	2.64538	0.153526	35.8319	1.38892	0.066655	4.65244	4.59577	0.0742271	0.000971874	2.12841e-08	2.68317e-07	0.000469025	0.901506	1	47.3053	12.9019	1.99918e-09	1.21887e-05	5.6575e-07	72.4585	8.99962e-05	0.000256928	1.21917e-05
58	0.421566	5.78504	19.487	2.65055	0.152856	35.9738	1.39177	0.0664115	4.64562	4.59467	0.0753319	0.000958976	2.09656e-08	2.61239e-07	0.000465592	0.893392	1	47.2595	13.1036	1.99966e-09	1.2281e-05	5.662e-07	72.3517	9.02202e-05	0.000254271	1.2284e-05
59	0.419569	5.77924	19.4928	2.65565	0.152198	36.1145	1.39459	0.0661737	4.63899	4.59357	0.0764294	0.000946554	2.06589e-08	2.54511e-07	0.000462236	0.885489	1	47.2139	13.3045	2.00015e-09	1.23719e-05	5.66644e-07	72.2452	9.04382e-05	0.000251686	1.23749e-05
60	0.417606	5.77353	19.4985	2.66071	0.15155	36.2541	1.39738	0.0659415	4.63256	4.59248	0.0775194	0.000934586	2.03635e-08	2.48112e-07	0.000458959	0.877795	1	47.1687	13.5047	2.00064e-09	1.24616e-05	5.67083e-07	72.1391	9.06508e-05	0.000249171	1.24646e-05
61	0.415678	5.76791	19.5041	2.66571	0.150913	36.3926	1.40015	0.065715	4.62633	4.5914	0.0786014	0.000923054	2.00789e-08	2.42023e-07	0.00045576	0.870308	1	47.1238	13.7042	2.00114e-09	1.255e-05	5.67516e-07	72.0334	9.0858e-05	0.000246725	1.2553e-05
62	0.413782	5.7624	19.5096	2.67067	0.150287	36.5299	1.40288	0.0654942	4.62029	4.59033	0.0796753	0.00091194	1.98047e-08	2.36226e-07	0.00045264	0.863028	1	47.0792	13.9029	2.00164e-09	1.26372e-05	5.67944e-07	71.9281	9.10602e-05	0.000244349	1.26402e-05
63	0.41192	5.75698	19.515	2.67557	0.149671	36.6662	1.40559	0.0652791	4.61445	4.58926	0.0807407	0.000901228	1.95405e-08	2.30705e-07	0.000449598	0.855953	1	47.0349	14.101	2.00215e-09	1.27233e-05	5.68367e-07	71.8232	9.12577e-05	0.000242041	1.27262e-05
64	0.41009	5.75167	19.5203	2.68042	0.149065	36.8012	1.40827	0.0650696	4.60879	4.5882	0.0817972	0.0008909	1.92858e-08	2.25444e-07	0.000446635	0.849082	1	46.9909	14.2984	2.00267e-09	1.28082e-05	5.68785e-07	71.7187	9.14505e-05	0.000239802	1.28111e-05
65	0.408292	5.74647	19.5255	2.68523	0.148469	36.9352	1.41093	0.0648656	4.60332	4.58716	0.0828448	0.000880943	1.90402e-08	2.20428e-07	0.000443751	0.842412	1	46.9472	14.4951	2.0032e-09	1.28921e-05	5.69199e-07	71.6146	9.16391e-05	0.000237629	1.2895e-05
66	0.406524	5.74138	19.5306	2.68999	0.147883	37.068	1.41355	0.0646673	4.59804	4.58612	0.0838829	0.000871341	1.88034e-08	2.15645e-07	0.000440945	0.835942	1	46.9038	14.6911	2.00374e-09	1.29749e-05	5.69608e-07	71.5108	9.18235e-05	0.000235523	1.29778e-05
67	0.404787	5.73641	19.5356	2.69471	0.147307	37.1997	1.41615	0.0644745	4.59295	4.58509	0.0849115	0.000862081	1.85751e-08	2.11081e-07	0.000438218	0.829669	1	46.8606	14.8865	2.00428e-09	1.30567e-05	5.70013e-07	71.4074	9.20039e-05	0.000233483	1.30596e-05
68	0.40308	5.73156	19.5405	2.69938	0.14674	37.3302	1.41872	0.0642872	4.58803	4.58407	0.0859302	0.00085315	1.83548e-08	2.06726e-07	0.000435569	0.823592	1	46.8178	15.0813	2.00482e-09	1.31376e-05	5.70414e-07	71.3043	9.21806e-05	0.000231508	1.31404e-05
69	0.401403	5.72683	19.5452	2.704	0.146183	37.4596	1.42127	0.0641053	4.58329	4.58306	0.0869388	0.000844535	1.81424e-08	2.02569e-07	0.000432997	0.817708	1	46.7751	15.2754	2.00538e-09	1.32175e-05	5.70812e-07	71.2016	9.23536e-05	0.000229597	1.32204e-05
70	0.399754	5.72222	19.5498	2.70858	0.145635	37.5879	1.42378	0.0639289	4.57873	4.58207	0.0879369	0.000836225	1.79375e-08	1.98598e-07	0.000430503	0.812015	1	46.7328	15.469	2.00594e-09	1.32965e-05	5.71205e-07	71.0992	9.25233e-05	0.000227748	1.32994e-05
71	0.398134	5.71773	19.5543	2.71312	0.145096	37.715	1.42627	0.0637577	4.57434	4.58108	0.0889245	0.000828209	1.77397e-08	1.94804e-07	0.000428086	0.80651	1	46.6907	15.6619	2.00651e-09	1.33747e-05	5.71595e-07	70.9972	9.26896e-05	0.000225962	1.33775e-05
72	0.396542	5.71337	19.5586	2.71761	0.144566	37.841	1.42873	0.0635918	4.57013	4.5801	0.0899013	0.000820476	1.75489e-08	1.91179e-07	0.000425744	0.80119	1	46.6488	15.8543	2.00709e-09	1.3452e-05	5.71981e-07	70.8955	9.28528e-05	0.000224237	1.34548e-05
73	0.394977	5.70913	19.5629	2.72206	0.144045	37.9658	1.43117	0.0634311	4.56608	4.57913	0.0908671	0.000813015	1.73648e-08	1.87714e-07	0.000423478	0.796053	1	46.6073	16.046	2.00767e-09	1.35285e-05	5.72364e-07	70.7941	9.30131e-05	0.000222572	1.35313e-05
74	0.39344	5.70502	19.567	2.72647	0.143533	38.0895	1.43358	0.0632755	4.56219	4.57818	0.0918216	0.000805816	1.71871e-08	1.844e-07	0.000421286	0.791095	1	46.5659	16.2373	2.00826e-09	1.36042e-05	5.72744e-07	70.693	9.31704e-05	0.000220966	1.3607e-05
75	0.391929	5.70103	19.571	2.73083	0.143029	38.212	1.43596	0.063125	4.55847	4.57724	0.0927647	0.000798871	1.70156e-08	1.81231e-07	0.000419168	0.786314	1	46.5248	16.4279	2.00885e-09	1.36792e-05	5.73121e-07	70.5923	9.3325e-05	0.000219418	1.3682e-05
76	0.390445	5.69717	19.5748	2.73515	0.142534	38.3333	1.43831	0.0629795	4.5549	4.57631	0.0936963	0.00079217	1.68501e-08	1.782e-07	0.000417123	0.781707	1	46.4839	16.618	2.00946e-09	1.37534e-05	5.73495e-07	70.4919	9.3477e-05	0.000217927	1.37562e-05
77	0.388986	5.69344	19.5786	2.73943	0.142047	38.4535	1.44064	0.0628388	4.55149	4.57539	0.0946162	0.000785704	1.66903e-08	1.75298e-07	0.000415149	0.77727	1	46.4433	16.8076	2.01006e-09	1.38269e-05	5.73866e-07	70.3918	9.36265e-05	0.000216492	1.38297e-05
78	0.387553	5.68983	19.5822	2.74367	0.141568	38.5725	1.44294	0.0627029	4.54823	4.57448	0.0955242	0.000779465	1.65361e-08	1.72522e-07	0.000413247	0.773	1	46.4029	16.9967	2.01068e-09	1.38998e-05	5.74234e-07	70.292	9.37736e-05	0.000215111	1.39026e-05
79	0.386145	5.68634	19.5857	2.74787	0.141098	38.6903	1.44522	0.0625717	4.54512	4.57358	0.0964203	0.000773446	1.63872e-08	1.69864e-07	0.000411414	0.768893	1	46.3627	17.1853	2.0113e-09	1.3972e-05	5.746e-07	70.1925	9.39183e-05	0.000213784	1.39748e-05
80	0.384761	5.68298	19.589	2.75202	0.140635	38.807	1.44746	0.0624452	4.54216	4.5727	0.0973043	0.000767637	1.62434e-08	1.67318e-07	0.000409649	0.764947	1	46.3227	17.3733	2.01193e-09	1.40436e-05	5.74963e-07	70.0932	9.40609e-05	0.000212508	1.40463e-05
81	0.383402	5.67974	19.5923	2.75613	0.14018	38.9224	1.44968	0.0623232	4.53933	4.57183	0.0981761	0.000762033	1.61046e-08	1.6488e-07	0.000407952	0.761158	1	46.2829	17.5609	2.01256e-09	1.41145e-05	5.75324e-07	69.9943	9.42014e-05	0.000211284	1.41173e-05
82	0.382067	5.67662	19.5954	2.7602	0.139733	39.0367	1.45188	0.0622056	4.53664	4.57097	0.0990357	0.000756626	1.59706e-08	1.62545e-07	0.000406321	0.757522	1	46.2434	17.748	2.0132e-09	1.41849e-05	5.75683e-07	69.8957	9.43399e-05	0.00021011	1.41877e-05
83	0.380755	5.67362	19.5984	2.76423	0.139294	39.1498	1.45405	0.0620924	4.53409	4.57012	0.0998829	0.000751409	1.58412e-08	1.60308e-07	0.000404754	0.754036	1	46.204	17.9346	2.01385e-09	1.42547e-05	5.76039e-07	69.7973	9.44764e-05	0.000208984	1.42574e-05
84	0.379467	5.67074	19.6013	2.76821	0.138862	39.2617	1.45619	0.0619834	4.53167	4.56928	0.100718	0.000746375	1.57163e-08	1.58163e-07	0.000403252	0.750696	1	46.1649	18.1208	2.0145e-09	1.43239e-05	5.76393e-07	69.6992	9.4611e-05	0.000207905	1.43267e-05
