Time	[L]	[R]	[LR]	[Gabg]	[RGabg]	[LRGabg]	[RRGSm]	[LRRGSm]	[RRGSmGabg]	[LRRGSmGabg]	[GaGTP]	[Gbg]	[Effector]	[GaGTPEffector]	[RGSc]	[RGSm]	[RGSmGaGTP]	[GaGTPEffectorOFF]	[RGSmGaGTPEffectorOFF]	[GaGDPP]	[LRRGSmGaGTP]	[RRGSmGaGTP]	[LRRGSmGaGTPEffectorOFF]	[GaGDP]	[P]	[z1]	[z2]	[z3]
40	4.68323e-13	6.0184	0.0997894	5.09816	182.322	0.000203565	0.000413506	6.87032e-06	16.5588	5.25304e-08	4.31389e-05	1.02045	304.344	0.135848	0.0686923	42.4897	0.362679	6.39453e-05	0.519716	0.00106264	1.21195e-08	2.15298e-08	1.00439e-07	0.00104133	0.10653	0.139025	0.142351	0.145834
41	1.67312e-13	5.86868	0.0997943	4.98022	182.867	0.000198864	0.000394859	6.72788e-06	16.164	5.02515e-08	4.17772e-05	0.988652	304.368	0.131433	0.0672686	42.9133	0.354671	6.12563e-05	0.500359	0.00103681	1.14858e-08	1.97867e-08	9.27584e-08	0.0010487	0.103934	0.134411	0.137524	0.140781
42	5.72852e-14	5.72598	0.0997989	4.8674	183.388	0.000194367	0.000377512	6.59261e-06	15.786	4.81256e-08	4.04966e-05	0.958768	304.39	0.127287	0.0659164	43.3183	0.346985	5.87692e-05	0.482328	0.00101219	1.09029e-08	1.82304e-08	8.59514e-08	0.00105571	0.10146	0.130083	0.133002	0.136053
43	1.96151e-14	5.58984	0.0998033	4.75937	183.886	0.00019006	0.000361345	6.46398e-06	15.4242	4.61395e-08	3.92903e-05	0.93064	304.411	0.123387	0.0646307	43.7057	0.339604	5.64637e-05	0.465502	0.000988684	1.03654e-08	1.68367e-08	7.98937e-08	0.00106236	0.0990992	0.126016	0.128758	0.13162
44	6.60602e-15	5.45982	0.0998076	4.65585	184.362	0.000185933	0.000346254	6.34153e-06	15.0779	4.42811e-08	3.81524e-05	0.904124	304.43	0.119714	0.0634067	44.076	0.332511	5.43223e-05	0.449771	0.000966231	9.86879e-09	1.55847e-08	7.44813e-08	0.00106869	0.0968436	0.122189	0.124769	0.127458
45	2.69557e-15	5.33552	0.0998117	4.55659	184.818	0.000181975	0.000332146	6.22485e-06	14.7464	4.25397e-08	3.70775e-05	0.879088	304.449	0.116249	0.0622403	44.4303	0.32569	5.23293e-05	0.43504	0.000944759	9.40907e-09	1.44569e-08	6.96268e-08	0.0010747	0.0946868	0.118583	0.121013	0.123545
46	2.91361e-15	5.2166	0.0998156	4.46132	185.254	0.000178176	0.000318935	6.11353e-06	14.4291	4.09055e-08	3.60608e-05	0.855416	304.466	0.112975	0.0611276	44.7691	0.319128	5.04709e-05	0.421221	0.000924207	8.98269e-09	1.34383e-08	6.5257e-08	0.00108041	0.0926227	0.11518	0.117473	0.119858
47	2.68893e-15	5.1027	0.0998194	4.36983	185.672	0.000174528	0.000306547	6.00723e-06	14.1252	3.93701e-08	3.50979e-05	0.833001	304.482	0.109879	0.060065	45.0933	0.312811	4.87347e-05	0.408237	0.000904518	8.58648e-09	1.25158e-08	6.13095e-08	0.00108585	0.0906453	0.111964	0.11413	0.116382
48	1.07654e-15	4.99353	0.099823	4.2819	186.072	0.000171022	0.000294914	5.90562e-06	13.8343	3.79254e-08	3.41848e-05	0.811749	304.497	0.106947	0.0590492	45.4036	0.306726	4.71099e-05	0.396018	0.000885639	8.21768e-09	1.16783e-08	5.77315e-08	0.00109102	0.0887496	0.108921	0.11097	0.113098
49	-3.41803e-17	4.8888	0.0998264	4.19735	186.455	0.000167649	0.000283975	5.80839e-06	13.5557	3.65645e-08	3.33179e-05	0.791572	304.511	0.104166	0.0580774	45.7006	0.300862	4.55867e-05	0.384502	0.000867523	7.8738e-09	1.09161e-08	5.44782e-08	0.00109594	0.0869305	0.106037	0.107978	0.109992
50	-2.87964e-16	4.78825	0.0998298	4.11597	186.823	0.000164404	0.000273676	5.71529e-06	13.2888	3.52809e-08	3.24938e-05	0.772393	304.525	0.101525	0.0571467	45.985	0.295207	4.41563e-05	0.373633	0.000850125	7.55265e-09	1.0221e-08	5.15113e-08	0.00110063	0.0851837	0.103302	0.105143	0.107051
51	2.24781e-16	4.69165	0.099833	4.03761	187.175	0.000161278	0.000263968	5.62605e-06	13.033	3.40689e-08	3.17096e-05	0.75414	304.538	0.0990154	0.0562546	46.2574	0.289752	4.28111e-05	0.363359	0.000833404	7.25225e-09	9.58566e-09	4.8798e-08	0.0011051	0.083505	0.100704	0.102452	0.104263
52	9.29599e-16	4.59876	0.0998361	3.96211	187.513	0.000158266	0.000254804	5.54044e-06	12.7879	3.29232e-08	3.09625e-05	0.736748	304.55	0.0966269	0.0553987	46.5183	0.284486	4.1544e-05	0.353636	0.000817322	6.97083e-09	9.00373e-09	4.63097e-08	0.00110936	0.0818905	0.0982334	0.0998953	0.101615
53	5.25623e-16	4.50938	0.0998391	3.88931	187.838	0.000155362	0.000246145	5.45825e-06	12.5529	3.18388e-08	3.025e-05	0.720158	304.561	0.0943514	0.0545771	46.7685	0.279401	4.03487e-05	0.344421	0.000801843	6.70681e-09	8.46962e-09	4.40219e-08	0.00111342	0.0803368	0.0958816	0.0974633	0.0990992
