Time	[iron_in_Plasma]	[iron_in_Bone Marrow]	[iron_in_RBC]	[iron_in_Spleen]	[iron_in_Liver]	[iron_in_Muscle]	[iron_in_Duodenum]	[iron_in_Integument]	[iron_in_Intestine]	[iron_ions_Outside]	[iron_in_Heart]	[iron_in_Lungs]	[iron_in_Kidneys]	[iron_in_Testes]	[iron_in_Stomach]	[iron_in_Fat]	[iron_in_Brain]
77	0.131825	1.69312	33.3211	0.601122	7.50088	2.50604	0.0215256	2.74733	0.576381	48.1435	0.291791	1.06389	0.958902	0.0965018	0.125885	0.095343	0.124887
78	0.130884	1.68097	33.1018	0.597146	7.44329	2.48751	0.0213696	2.72503	0.572197	48.5032	0.289656	1.05551	0.951949	0.095711	0.124976	0.0946098	0.124159
79	0.129952	1.66893	32.8835	0.593189	7.38649	2.46919	0.0212153	2.70307	0.568058	48.8602	0.287544	1.04725	0.945068	0.0949324	0.124076	0.0938868	0.123432
80	0.129028	1.65702	32.6662	0.589251	7.33047	2.45109	0.0210626	2.68145	0.563961	49.2144	0.285456	1.03912	0.938259	0.0941657	0.123185	0.0931737	0.122705
81	0.128113	1.64522	32.4499	0.585333	7.27518	2.43319	0.0209114	2.66015	0.559906	49.5659	0.283389	1.0311	0.931519	0.0934105	0.122304	0.09247	0.121979
82	0.127207	1.63353	32.2347	0.581434	7.22061	2.41548	0.0207617	2.63917	0.555892	49.9148	0.281344	1.02319	0.924847	0.0926663	0.12143	0.0917754	0.121255
83	0.126308	1.62195	32.0204	0.577556	7.16672	2.39797	0.0206135	2.61848	0.551918	50.261	0.279321	1.01539	0.918239	0.0919329	0.120566	0.0910896	0.120532
84	0.125418	1.61047	31.8073	0.573698	7.1135	2.38064	0.0204667	2.59808	0.547982	50.6046	0.277317	1.00769	0.911695	0.0912097	0.119709	0.0904123	0.11981
85	0.124536	1.5991	31.5952	0.56986	7.06091	2.3635	0.0203212	2.57796	0.544083	50.9457	0.275334	1.00009	0.905214	0.0904966	0.11886	0.0897431	0.11909
86	0.123661	1.58783	31.3843	0.566044	7.00893	2.34652	0.0201772	2.55812	0.540221	51.2842	0.273369	0.992588	0.898792	0.0897932	0.118019	0.0890818	0.118372
87	0.122794	1.57666	31.1745	0.562248	6.95755	2.32972	0.0200344	2.53853	0.536395	51.6202	0.271424	0.985178	0.89243	0.0890991	0.117186	0.0884281	0.117655
88	0.121934	1.56558	30.9658	0.558474	6.90675	2.31308	0.019893	2.5192	0.532604	51.9537	0.269497	0.977857	0.886126	0.088414	0.11636	0.0877817	0.11694
89	0.121081	1.5546	30.7583	0.554721	6.8565	2.2966	0.0197528	2.50011	0.528846	52.2848	0.267587	0.970622	0.879877	0.0877378	0.115541	0.0871425	0.116228
90	0.120235	1.54372	30.5519	0.55099	6.8068	2.28028	0.0196138	2.48125	0.525122	52.6134	0.265695	0.963471	0.873684	0.0870701	0.11473	0.0865101	0.115517
91	0.119397	1.53292	30.3467	0.547281	6.75761	2.26411	0.019476	2.46263	0.52143	52.9397	0.26382	0.956401	0.867545	0.0864106	0.113925	0.0858845	0.114809
92	0.118565	1.52222	30.1426	0.543593	6.70893	2.24809	0.0193394	2.44423	0.51777	53.2636	0.261962	0.949409	0.861458	0.0857591	0.113127	0.0852653	0.114102
93	0.11774	1.5116	29.9397	0.539927	6.66075	2.23221	0.019204	2.42604	0.514141	53.5851	0.26012	0.942493	0.855423	0.0851153	0.112336	0.0846524	0.113399
94	0.116921	1.50107	29.7381	0.536283	6.61305	2.21647	0.0190697	2.40806	0.510543	53.9043	0.258293	0.935651	0.849439	0.0844792	0.111552	0.0840457	0.112697
95	0.116109	1.49062	29.5376	0.532661	6.56581	2.20088	0.0189365	2.39029	0.506975	54.2212	0.256483	0.928881	0.843505	0.0838503	0.110774	0.0834449	0.111998
96	0.115303	1.48026	29.3383	0.529061	6.51902	2.18542	0.0188044	2.37271	0.503437	54.5358	0.254688	0.92218	0.83762	0.0832285	0.110002	0.0828499	0.111302
97	0.114504	1.46998	29.1402	0.525483	6.47268	2.17009	0.0186734	2.35532	0.499927	54.8482	0.252907	0.915547	0.831782	0.0826137	0.109236	0.0822606	0.110608
98	0.113711	1.45978	28.9433	0.521927	6.42677	2.15489	0.0185435	2.33812	0.496446	55.1583	0.251142	0.90898	0.825992	0.0820056	0.108477	0.0816768	0.109917
99	0.112924	1.44966	28.7476	0.518393	6.38129	2.13982	0.0184146	2.3211	0.492992	55.4663	0.249391	0.902478	0.820248	0.081404	0.107723	0.0810984	0.109229
100	0.112142	1.43961	28.5531	0.514881	6.33621	2.12487	0.0182867	2.30426	0.489567	55.772	0.247654	0.896037	0.81455	0.0808088	0.106976	0.0805252	0.108543
