Time	[ADP]	[NAD]	[ATP]	[NADH]	[pyruvate]	[lactate]	[CoA]	[halfglucose]	[AcCoA]	[AcP]	[Ac]	[AcO]	[EtOH]	[AcLac]	[AcetoinIn]	[AcetoinOut]	[Butanediol]	[O2]	[PO4]
83	0.821579	9.83245	4.17842	0.167549	0.412016	0.1	0.353957	30	0.646043	0.0563111	1	0.0225263	1	0.000564336	0.00037514	0	0.01	0.2	10
84	0.821579	9.83245	4.17842	0.167549	0.412016	0.1	0.353957	30	0.646043	0.0563111	1	0.0225263	1	0.000564336	0.00037514	0	0.01	0.2	10
85	0.821579	9.83245	4.17842	0.167549	0.412016	0.1	0.353957	30	0.646043	0.0563111	1	0.0225263	1	0.000564336	0.00037514	0	0.01	0.2	10
86	0.821579	9.83245	4.17842	0.167549	0.412016	0.1	0.353957	30	0.646043	0.0563111	1	0.0225263	1	0.000564336	0.00037514	0	0.01	0.2	10
87	0.821579	9.83245	4.17842	0.167549	0.412016	0.1	0.353957	30	0.646043	0.0563111	1	0.0225263	1	0.000564336	0.00037514	0	0.01	0.2	10
88	0.821579	9.83245	4.17842	0.167549	0.412016	0.1	0.353957	30	0.646043	0.0563111	1	0.0225263	1	0.000564336	0.00037514	0	0.01	0.2	10
89	0.821579	9.83245	4.17842	0.167549	0.412016	0.1	0.353957	30	0.646043	0.0563111	1	0.0225263	1	0.000564336	0.00037514	0	0.01	0.2	10
90	0.821579	9.83245	4.17842	0.167549	0.412016	0.1	0.353957	30	0.646043	0.0563111	1	0.0225263	1	0.000564336	0.00037514	0	0.01	0.2	10
91	0.821579	9.83245	4.17842	0.167549	0.412016	0.1	0.353957	30	0.646043	0.0563111	1	0.0225263	1	0.000564336	0.00037514	0	0.01	0.2	10
92	0.821579	9.83245	4.17842	0.167549	0.412016	0.1	0.353957	30	0.646043	0.0563111	1	0.0225263	1	0.000564336	0.00037514	0	0.01	0.2	10
93	0.821579	9.83245	4.17842	0.167549	0.412016	0.1	0.353957	30	0.646043	0.0563111	1	0.0225263	1	0.000564336	0.00037514	0	0.01	0.2	10
94	0.821579	9.83245	4.17842	0.167549	0.412016	0.1	0.353957	30	0.646043	0.0563111	1	0.0225263	1	0.000564336	0.00037514	0	0.01	0.2	10
95	0.821579	9.83245	4.17842	0.167549	0.412016	0.1	0.353957	30	0.646043	0.0563111	1	0.0225263	1	0.000564336	0.00037514	0	0.01	0.2	10
96	0.821579	9.83245	4.17842	0.167549	0.412016	0.1	0.353957	30	0.646043	0.0563111	1	0.0225263	1	0.000564336	0.00037514	0	0.01	0.2	10
97	0.821579	9.83245	4.17842	0.167549	0.412016	0.1	0.353957	30	0.646043	0.0563111	1	0.0225263	1	0.000564336	0.00037514	0	0.01	0.2	10
98	0.821579	9.83245	4.17842	0.167549	0.412016	0.1	0.353957	30	0.646043	0.0563111	1	0.0225263	1	0.000564336	0.00037514	0	0.01	0.2	10
99	0.821579	9.83245	4.17842	0.167549	0.412016	0.1	0.353957	30	0.646043	0.0563111	1	0.0225263	1	0.000564336	0.00037514	0	0.01	0.2	10
100	0.821579	9.83245	4.17842	0.167549	0.412016	0.1	0.353957	30	0.646043	0.0563111	1	0.0225263	1	0.000564336	0.00037514	0	0.01	0.2	10
