Time	[IkBalpha]	[NFkB]	[IkBalpha_NFkB]	[IkBbeta]	[IkBbeta_NFkB]	[IkBeps]	[IkBeps_NFkB]	[IKK_IkBalpha]	[IKK_IkBalpha_NFkB]	[IKK]	[IKK_IkBbeta]	[IKK_IkBbeta_NFkB]	[IKK_IkBeps]	[IKK_IkBeps_NFkB]	[NFkB_nuc]	[IkBalpha_nuc]	[IkBalpha_nuc_NFkB_nuc]	[IkBbeta_nuc]	[IkBbeta_nuc_NFkB_nuc]	[IkBeps_nuc]	[IkBalpha_transcript]	[IkBbeta_transcript]	[IkBeps_transcript]	[IkBeps_nuc_NFkB_nuc]	Values[fr_after_trigger]
81	0.439134	0.000168148	0.0996042	0	0	0	0	-1.85154e-24	-8.11421e-25	-9.65537e-25	0	0	0	0	0.00012919	0.243179	0.0010985	0	0	0	0.0289379	0	0	0	0.5
82	0.439006	0.000168185	0.0996062	0	0	0	0	-1.84789e-24	-8.09909e-25	-9.63755e-25	0	0	0	0	0.000127087	0.24723	0.00109852	0	0	0	0.0285476	0	0	0	0.5
83	0.438834	0.000168233	0.0996081	0	0	0	0	-1.84415e-24	-8.08441e-25	-9.62027e-25	0	0	0	0	0.000125087	0.25123	0.00109863	0	0	0	0.0281637	0	0	0	0.5
84	0.438623	0.000168293	0.0996097	0	0	0	0	-1.84033e-24	-8.07015e-25	-9.60348e-25	0	0	0	0	0.000123183	0.255179	0.00109882	0	0	0	0.0277862	0	0	0	0.5
85	0.438373	0.000168362	0.0996112	0	0	0	0	-1.83644e-24	-8.05629e-25	-9.58717e-25	0	0	0	0	0.000121369	0.259076	0.00109908	0	0	0	0.0274151	0	0	0	0.5
86	0.438086	0.000168441	0.0996125	0	0	0	0	-1.83248e-24	-8.0428e-25	-9.57131e-25	0	0	0	0	0.00011964	0.262922	0.00109942	0	0	0	0.0270501	0	0	0	0.5
87	0.437765	0.00016853	0.0996136	0	0	0	0	-1.82845e-24	-8.02967e-25	-9.55587e-25	0	0	0	0	0.000117991	0.266716	0.00109983	0	0	0	0.0266912	0	0	0	0.5
88	0.437411	0.000168628	0.0996146	0	0	0	0	-1.82436e-24	-8.01688e-25	-9.54084e-25	0	0	0	0	0.000116417	0.270458	0.00110031	0	0	0	0.0263383	0	0	0	0.5
89	0.437025	0.000168734	0.0996155	0	0	0	0	-1.82021e-24	-8.00442e-25	-9.52619e-25	0	0	0	0	0.000114914	0.274149	0.00110085	0	0	0	0.0259912	0	0	0	0.5
90	0.43661	0.000168848	0.0996162	0	0	0	0	-1.816e-24	-7.99225e-25	-9.5119e-25	0	0	0	0	0.000113478	0.277787	0.00110146	0	0	0	0.02565	0	0	0	0.5
