Time	[CDC28_Clb2_Sic1_Complex]	[Clb2]	[Sic1]	[Phosphorylated Cdc28_Clb2_Sic1 Complex]	[Phosphorylated Clb2]	[SBF]	[Intermediary Enzyme]	[Cdc20 activated]	[Cdc20]	[Cdh1]	[Swe1]	[Swe1 modified]	[Phosphorylated Swe1]	[Phosphorylated Swe1M]	[Mih1a]	[Mcm]	[BE]	[Cln]	[mass]
85	0.071595	0.0361697	0.00757046	0.0208311	0.00980979	0.937172	0.000934036	3.67311e-06	0.0505968	0.00476394	0.00293486	0.0871537	0.000287168	0.00401959	0.0114374	0.0231624	0.792637	0.901957	1.22711
86	0.0714937	0.0419961	0.00660671	0.0198703	0.0109198	0.934582	0.00110504	4.34882e-06	0.0506223	0.00432585	0.00290054	0.0878943	0.000330955	0.00475483	0.0135881	0.0280648	0.803201	0.905186	1.23326
87	0.0711903	0.0480518	0.00583853	0.0189654	0.0120155	0.931619	0.00128903	5.077e-06	0.0507085	0.0039507	0.00286418	0.0885334	0.000375477	0.00554295	0.0159197	0.0335833	0.813039	0.907843	1.23944
88	0.0707458	0.054285	0.00521729	0.0181206	0.0130894	0.928281	0.0014852	5.85483e-06	0.0508837	0.00362864	0.00282623	0.0890727	0.000420206	0.00637952	0.0184249	0.0397479	0.822167	0.909947	1.24566
89	0.0702052	0.0606608	0.00470727	0.0173359	0.0141384	0.924552	0.00169319	6.68123e-06	0.0511858	0.00335071	0.002787	0.0895126	0.000464768	0.00726176	0.0211019	0.0466031	0.8306	0.911515	1.2519
90	0.069601	0.0671578	0.00428238	0.016609	0.0151624	0.920403	0.00191302	7.55683e-06	0.0516628	0.00310921	0.00274668	0.0898518	0.000508905	0.00818834	0.023954	0.0542094	0.838355	0.912558	1.25818
91	0.068956	0.0737659	0.00392345	0.0159357	0.0161632	0.915787	0.00214512	8.48386e-06	0.0523751	0.00289778	0.00270534	0.0900879	0.000552446	0.00915924	0.0269895	0.0626448	0.845446	0.913085	1.26448
92	0.0682861	0.0804834	0.0036163	0.0153115	0.0171433	0.910641	0.00239023	9.46609e-06	0.0533966	0.00271121	0.00266295	0.0902173	0.000595271	0.0101755	0.0302217	0.0720057	0.851887	0.913098	1.27082
93	0.0676023	0.0873154	0.0033503	0.0147314	0.0181058	0.904881	0.00264947	1.05088e-05	0.0548167	0.00254527	0.00261942	0.0902351	0.000637294	0.0112391	0.033669	0.0824084	0.857692	0.912591	1.27719
94	0.0669126	0.0942729	0.0031174	0.0141904	0.0190538	0.8984	0.00292428	1.16188e-05	0.0567431	0.00239655	0.00257456	0.0901355	0.000678444	0.0123529	0.0373546	0.0939913	0.86287	0.91155	1.28359
95	0.0662223	0.101372	0.00291142	0.0136839	0.0199902	0.891058	0.00321651	1.28045e-05	0.0593045	0.00226228	0.00252816	0.0899115	0.000718649	0.0135206	0.041308	0.106917	0.86743	0.909951	1.29003
96	0.0655354	0.108632	0.00272755	0.0132075	0.0209178	0.882681	0.00352843	1.40765e-05	0.0626545	0.0021402	0.0024799	0.0895546	0.000757823	0.0147465	0.0455652	0.121372	0.871375	0.907756	1.29649
97	0.064855	0.11608	0.002562	0.0127571	0.0218389	0.873044	0.00386284	1.54472e-05	0.066976	0.00202843	0.00242942	0.0890553	0.000795855	0.0160361	0.0501703	0.137576	0.874705	0.904915	1.30299
98	0.0641837	0.123744	0.00241176	0.012329	0.0227554	0.861867	0.00422315	1.69317e-05	0.0724868	0.00192546	0.00237626	0.0884024	0.000832585	0.0173953	0.0551771	0.155773	0.877414	0.901355	1.30952
99	0.0635236	0.131661	0.0022744	0.0119199	0.0236688	0.848793	0.00461352	1.85483e-05	0.0794466	0.00183002	0.00231987	0.087583	0.000867794	0.0188309	0.0606512	0.176243	0.879487	0.896981	1.31609
100	0.0628774	0.139869	0.00214797	0.0115266	0.0245799	0.833375	0.00503907	2.03193e-05	0.0881649	0.00174104	0.0022596	0.0865825	0.000901175	0.0203505	0.0666728	0.199298	0.880903	0.89167	1.32268
