Time	[TGF_beta_ex]	[T1R_surf]	[T1R_endo]	[T2R_surf]	[T2R_endo]	[LRC_surf]	[LRC_endo]	[Smad2c]	[Smad2n]	[Smad4c]	[Smad4n]	[PSmad2c]	[PSmad2_PSmad2_c]	[PSmad2_Smad4_c]	[PSmad2n]	[PSmad2_PSmad2_n]	[PSmad2_Smad4_n]	[TGF_beta_endo]	[TGF_beta_ns]	[AA]	[empty_degraded]
78	0.0462592	0.461213	4.8878	0.0106688	0.341065	0.0221017	0.189738	44.8392	22.5972	37.6418	46.5606	0.379608	0.0152525	1.50548	3.00961	1.84832	31.0406	0.0245487	0.00115037	0	0
79	0.0462404	0.460257	4.87447	0.0106457	0.337128	0.0220842	0.188329	44.9251	22.6296	37.7066	46.5801	0.377006	0.0150431	1.49769	2.99382	1.82895	30.8901	0.0243471	0.0011499	0	0
80	0.0462218	0.459299	4.86124	0.0106237	0.333303	0.0220691	0.186979	45.0105	22.6618	37.771	46.5997	0.374446	0.0148385	1.49002	2.97807	1.80972	30.7399	0.0241536	0.00114944	0	0
81	0.0462034	0.458341	4.8481	0.0106029	0.329589	0.0220564	0.185686	45.0955	22.6939	37.8352	46.6192	0.37193	0.0146387	1.48247	2.96238	1.79065	30.5903	0.023968	0.00114898	0	0
82	0.046185	0.457383	4.83506	0.0105833	0.325982	0.0220458	0.184447	45.1799	22.7258	37.8989	46.6387	0.369459	0.0144436	1.47505	2.94677	1.77176	30.4413	0.02379	0.00114852	0	0
83	0.0461668	0.456424	4.82211	0.0105648	0.322482	0.0220374	0.183262	45.2637	22.7575	37.9621	46.6581	0.367032	0.0142534	1.46776	2.93125	1.75306	30.2932	0.0236193	0.00114806	0	0
84	0.0461487	0.455465	4.80925	0.0105475	0.319085	0.022031	0.182128	45.3467	22.7889	38.0249	46.6774	0.364652	0.0140678	1.4606	2.91584	1.73457	30.146	0.0234559	0.00114761	0	0
85	0.0461307	0.454505	4.79649	0.0105312	0.315789	0.0220265	0.181043	45.4289	22.8201	38.0871	46.6967	0.362317	0.013887	1.45357	2.90055	1.71632	29.9999	0.0232993	0.00114716	0	0
86	0.0461128	0.453546	4.78381	0.0105161	0.312593	0.0220237	0.180006	45.5103	22.8509	38.1487	46.7158	0.360029	0.0137109	1.44667	2.88539	1.6983	29.855	0.0231495	0.00114672	0	0
87	0.046095	0.452586	4.77123	0.0105019	0.309494	0.0220226	0.179016	45.5908	22.8814	38.2096	46.7348	0.357788	0.0135394	1.43991	2.87038	1.68054	29.7114	0.0230061	0.00114627	0	0
88	0.0460773	0.451627	4.75873	0.0104889	0.306489	0.0220231	0.178071	45.6703	22.9116	38.2699	46.7536	0.355593	0.0133725	1.43328	2.85552	1.66304	29.5692	0.022869	0.00114583	0	0
89	0.0460597	0.450667	4.74632	0.0104768	0.303578	0.0220251	0.177168	45.7488	22.9414	38.3294	46.7722	0.353446	0.0132102	1.42679	2.84082	1.64582	29.4285	0.0227379	0.00114539	0	0
90	0.0460422	0.449708	4.73399	0.0104658	0.300757	0.0220284	0.176308	45.8263	22.9709	38.3882	46.7907	0.351345	0.0130523	1.42043	2.82631	1.62888	29.2895	0.0226127	0.00114496	0	0
91	0.0460248	0.448749	4.72175	0.0104557	0.298026	0.0220331	0.175488	45.9027	22.9999	38.4462	46.809	0.349292	0.0128988	1.4142	2.81197	1.61223	29.1521	0.0224931	0.00114452	0	0
92	0.0460074	0.44779	4.70959	0.0104467	0.295381	0.022039	0.174706	45.978	23.0286	38.5034	46.8271	0.347285	0.0127497	1.40811	2.79782	1.59588	29.0165	0.022379	0.00114409	0	0
93	0.0459902	0.446832	4.69751	0.0104385	0.29282	0.022046	0.173963	46.0521	23.0568	38.5597	46.8449	0.345325	0.0126048	1.40216	2.78388	1.57982	28.8827	0.0222702	0.00114366	0	0
94	0.045973	0.445874	4.68552	0.0104313	0.290343	0.022054	0.173255	46.125	23.0846	38.6152	46.8626	0.343412	0.0124641	1.39634	2.77013	1.56408	28.7508	0.0221664	0.00114323	0	0
95	0.0459559	0.444917	4.6736	0.010425	0.287946	0.0220631	0.172582	46.1968	23.1119	38.6699	46.88	0.341545	0.0123276	1.39065	2.7566	1.54864	28.6208	0.0220676	0.00114281	0	0
96	0.0459389	0.44396	4.66176	0.0104196	0.285628	0.022073	0.171943	46.2673	23.1388	38.7236	46.8971	0.339723	0.0121951	1.3851	2.74328	1.53352	28.4929	0.0219735	0.00114238	0	0
97	0.045922	0.443004	4.65	0.0104151	0.283387	0.0220838	0.171336	46.3366	23.1652	38.7764	46.914	0.337948	0.0120666	1.37968	2.73018	1.51871	28.3669	0.0218839	0.00114196	0	0
98	0.0459052	0.442049	4.63832	0.0104115	0.281222	0.0220954	0.17076	46.4046	23.1912	38.8283	46.9307	0.336217	0.011942	1.37439	2.7173	1.50421	28.2431	0.0217988	0.00114154	0	0
99	0.0458884	0.441095	4.62671	0.0104087	0.27913	0.0221077	0.170214	46.4714	23.2167	38.8793	46.947	0.334531	0.0118212	1.36923	2.70465	1.49004	28.1214	0.0217179	0.00114112	0	0
100	0.0458717	0.440141	4.61517	0.0104067	0.277109	0.0221206	0.169697	46.5369	23.2417	38.9293	46.9631	0.33289	0.0117041	1.36421	2.69223	1.47618	28.0018	0.0216411	0.00114071	0	0
