Time	[Ste5]	[Ste11]	[Ste5Ste11]	[Gbg]	[Ste5Ste11Gbg]	[Fus3]	[Ste5Ste11GbgFus3]	[Ste5Ste11GbgFus3P]	[Fus3PP]	[Ste5Ste11GbgP]	[Ste11Ubi]	[p]	[Kss1]	[Ste5Ste11GbgKss1]	[Ste5Ste11GbgKss1P]	[Kss1PP]	[Ste11P]	[Ste12Kss1]	[Ste12]	[Ste12P]	[s]	[PREP]	[Ste12TeSte5Kss1]	[Ste12TeSte5]	[Ste12TeSte5P]	[FREP]
53	31.5571	0.985738	0.312668	52.0467	2.59776e-15	201.526	1.00996e-12	0.883442	14.5901	0.00419705	0.730739	0	14.6548	3.2421e-15	0.0656607	58.1533	9.10984	32.3329	0.221028	3.4161	0	3.47934	2.36046	0.158084	9.17225	9.15129
54	31.5176	0.982324	0.311115	52.0877	1.23603e-15	202.129	5.65909e-13	0.846619	14.0244	0.00401025	0.70023	0	14.4015	4.32935e-14	0.0616414	58.3375	9.1148	32.3911	0.225317	3.35362	0	3.41635	2.31723	0.157938	9.19302	9.17219
55	31.4799	0.979101	0.309647	52.1269	1.05098e-15	202.71	3.16948e-13	0.811354	13.4783	0.00383229	0.670889	0	14.1534	5.10091e-14	0.0578792	58.5163	9.11949	32.4487	0.229669	3.29165	0	3.35387	2.27508	0.157804	9.2136	9.19294
56	31.4438	0.976056	0.308259	52.1644	8.05059e-16	203.271	1.96852e-13	0.777577	12.9513	0.00366271	0.642687	0	13.9108	3.35393e-14	0.0543576	58.6895	9.12393	32.5057	0.234081	3.23021	0	3.29191	2.234	0.157681	9.23396	9.2135
57	31.4093	0.973179	0.306946	52.2002	7.38138e-16	203.812	1.31007e-13	0.745223	12.4431	0.00350107	0.615595	0	13.6736	2.2641e-14	0.051061	58.8571	9.12812	32.5621	0.23855	3.16932	0	3.23048	2.19399	0.157569	9.25407	9.23384
58	31.3763	0.970459	0.305703	52.2344	3.39003e-16	204.333	6.66726e-14	0.714229	11.953	0.00334697	0.589579	0	13.4419	3.24493e-14	0.047975	59.0192	9.13208	32.618	0.243072	3.10897	0	3.16959	2.15506	0.157467	9.27389	9.25394
59	31.3448	0.967887	0.304527	52.2672	1.23415e-16	204.835	2.25161e-14	0.684536	11.4808	0.00320002	0.564607	0	13.2158	3.56435e-14	0.0450858	59.1756	9.13583	32.6732	0.247644	3.04918	0	3.10925	2.11718	0.157375	9.29341	9.27375
60	31.3146	0.965455	0.303413	52.2985	7.58488e-17	205.318	5.97646e-15	0.656087	11.0258	0.00305985	0.540647	0	12.9953	2.49938e-14	0.0423808	59.3264	9.13937	32.7278	0.252261	2.98996	0	3.04946	2.08037	0.157293	9.31261	9.29326
61	31.2857	0.963153	0.302357	52.3284	3.80193e-17	205.784	9.92161e-15	0.628829	10.5876	0.00292613	0.517664	0	12.7804	6.54943e-15	0.0398478	59.4716	9.14273	32.7818	0.25692	2.93132	0	2.99025	2.04459	0.15722	9.33147	9.31245
62	31.2581	0.960975	0.301357	52.357	5.79605e-17	206.232	3.0892e-14	0.602711	10.1658	0.00279853	0.495625	0	12.5711	-1.75209e-14	0.0374758	59.6113	9.14591	32.8351	0.261617	2.87326	0	2.93161	2.00985	0.157156	9.34996	9.33129
63	31.2317	0.958913	0.300408	52.3844	1.49759e-17	206.663	3.19091e-14	0.577682	9.75971	0.00267675	0.474498	0	12.3674	-2.00087e-14	0.0352542	59.7454	9.14892	32.8879	0.266347	2.81578	0	2.87355	1.97614	0.1571	9.36808	9.34978
64	31.2064	0.956961	0.299509	52.4106	6.20871e-18	207.077	2.64206e-14	0.553698	9.36901	0.0025605	0.45425	0	12.1693	-1.44576e-14	0.0331732	59.8741	9.15177	32.94	0.271107	2.7589	0	2.81608	1.94342	0.157052	9.38582	9.3679
65	31.1822	0.955111	0.298656	52.4356	4.02833e-18	207.476	7.64316e-15	0.530713	8.99314	0.0024495	0.434847	0	11.9767	-3.21964e-16	0.0312236	59.9974	9.15447	32.9915	0.275892	2.70263	0	2.7592	1.91171	0.157012	9.40316	9.38563
66	31.1591	0.95336	0.297846	52.4596	3.2805e-18	207.86	-3.77054e-15	0.508685	8.63164	0.00234351	0.41626	0	11.7895	6.79442e-15	0.0293969	60.1154	9.15704	33.0423	0.280697	2.64697	0	2.70293	1.88096	0.156979	9.42011	9.40297
67	31.1369	0.9517	0.297078	52.4825	2.87913e-18	208.228	-9.80223e-15	0.487573	8.28403	0.00224228	0.398455	0	11.6078	8.4526e-15	0.027685	60.2282	9.15946	33.0926	0.285518	2.59193	0	2.64728	1.85118	0.156952	9.43664	9.4199
68	31.1157	0.950127	0.296349	52.5044	1.08848e-18	208.583	-4.31389e-15	0.467338	7.94983	0.00214558	0.381404	0	11.4315	2.54987e-15	0.0260804	60.3359	9.16177	33.1421	0.290351	2.53752	0	2.59224	1.82234	0.156933	9.45276	9.43644
69	31.0954	0.948636	0.295657	52.5254	1.12371e-18	208.923	3.57751e-15	0.447945	7.62858	0.00205319	0.365076	0	11.2604	-4.23422e-15	0.0245761	60.4385	9.16395	33.1911	0.295191	2.48375	0	2.53784	1.79443	0.156919	9.46847	9.45256
70	31.076	0.947222	0.294999	52.5455	8.08703e-19	209.251	7.10871e-15	0.429357	7.31985	0.00196491	0.349443	0	11.0945	-5.86404e-15	0.0231655	60.5362	9.16602	33.2393	0.300034	2.43063	0	2.48407	1.76742	0.156912	9.48376	9.46826
71	31.0574	0.945882	0.294375	52.5647	2.84978e-19	209.565	5.43991e-15	0.41154	7.02318	0.00188055	0.334477	0	10.9338	-3.70219e-15	0.0218426	60.6292	9.16798	33.287	0.304875	2.37816	0	2.43095	1.7413	0.15691	9.49863	9.48355
72	31.0396	0.944611	0.293781	52.5831	-1.30934e-19	209.867	9.67574e-17	0.394462	6.73815	0.00179992	0.32015	0	10.7781	1.19124e-15	0.0206015	60.7175	9.16985	33.3339	0.309709	2.32637	0	2.37849	1.71604	0.156913	9.51309	9.49842
73	31.0225	0.943406	0.293218	52.6007	1.86162e-19	210.158	-3.09644e-15	0.378093	6.46434	0.00172284	0.306436	0	10.6273	3.16717e-15	0.019437	60.8012	9.17162	33.3802	0.314532	2.27525	0	2.3267	1.69163	0.156921	9.52713	9.51288
74	31.0062	0.942262	0.292682	52.6176	9.86768e-20	210.436	-4.19162e-15	0.362402	6.20133	0.00164915	0.293311	0	10.4814	3.29446e-15	0.0183441	60.8806	9.1733	33.4258	0.319339	2.22482	0	2.27559	1.66805	0.156933	9.54076	9.52693
75	30.9906	0.941177	0.292173	52.6337	-6.25608e-20	210.704	-1.50035e-15	0.347362	5.94874	0.0015787	0.280749	0	10.3402	5.80395e-16	0.0173181	60.9556	9.17489	33.4708	0.324126	2.17509	0	2.22517	1.64528	0.15695	9.55399	9.54056
76	30.9756	0.940147	0.291688	52.6492	9.70129e-20	210.961	7.62162e-16	0.332945	5.70618	0.00151133	0.268727	0	10.2037	-1.1512e-15	0.0163547	61.0266	9.17641	33.515	0.32889	2.12608	0	2.17545	1.62329	0.156971	9.56681	9.55379
77	30.9613	0.93917	0.291228	52.664	1.04301e-19	211.208	2.72068e-15	0.319126	5.47328	0.0014469	0.257223	0	10.0717	-2.29639e-15	0.0154498	61.0936	9.17784	33.5586	0.333625	2.07778	0	2.12643	1.60207	0.156996	9.57923	9.56661
78	30.9476	0.938243	0.29079	52.6781	-7.70809e-20	211.444	1.72021e-15	0.305879	5.24966	0.00138528	0.246214	0	9.94421	-1.12322e-15	0.0145996	61.1567	9.17921	33.6015	0.338328	2.03021	0	2.07814	1.58159	0.157025	9.59126	9.57903
