Time	[ATP]	[ADP]	[Patched]	[Hedgehog target gene]	[Sap18]	[Hedgehog]	[Complex_br_(Patched/Hedgehog)]	[Complex_br_(Costal2/Fused/_br_Smoothened){"Receiving cell"}]	[Complex_br_(Costal2/Smoothened/_br_Fused)]	[Complex_br_(Costal2/Fused/_br_Smoothened){"lipid raft"}]	[CBP]	[Microtubule]	[Cubitus_space_interruptus]	[Complex_br_(Cubitus_space_interruptus_space_repressor/Su(fu))]	[Complex_br_(Sap18/Su(fu)/_br_Cubitus_space_interruptus_space_repressor)]	[smoothened]	[complex]	[MIcrotubule]	[sag]	[Complex_br_(CBP/Cubitus)]	[Complex_br_(Costal2/Fused/../microtubule)]	[Complex_br_(Su(fu)/Fused/../_br_Smoothened)]	[Complex_br_(Su(fu)/Cubitus)]
73	1.30577	0.694231	1.78632	0.929444	0.983605	1.78632	3.21368	0.214708	0.694231	1.57076	1.65198e-08	2.61606	0.328809	0.983605	2.58695	0.0271493	0.0271493	0	0.5	3.47814e-09	0.356792	0.13636	0.15089
74	1.30575	0.694252	1.78632	0.929444	0.983605	1.78632	3.21368	0.214724	0.694252	1.57088	1.25931e-08	2.61627	0.328918	0.983605	2.58695	0.0267857	0.0267857	0	0.5	2.6524e-09	0.356949	0.13641	0.150938
75	1.30573	0.694273	1.78632	0.929444	0.983605	1.78632	3.21368	0.21474	0.694273	1.57099	9.59907e-09	2.61647	0.329023	0.983605	2.58695	0.0264317	0.0264317	0	0.5	2.02253e-09	0.357102	0.136459	0.150984
76	1.30571	0.694293	1.78632	0.929444	0.983605	1.78632	3.21368	0.214755	0.694293	1.57111	7.31633e-09	2.61666	0.329127	0.983605	2.58695	0.026087	0.026087	0	0.5	1.5421e-09	0.357251	0.136506	0.151029
77	1.30569	0.694312	1.78632	0.929444	0.983605	1.78632	3.21368	0.214771	0.694312	1.57122	5.57597e-09	2.61685	0.329227	0.983605	2.58695	0.0257511	0.0257511	0	0.5	1.17569e-09	0.357396	0.136553	0.151073
78	1.30567	0.694331	1.78632	0.929444	0.983605	1.78632	3.21368	0.214785	0.694331	1.57132	4.24928e-09	2.61704	0.329325	0.983605	2.58695	0.0254237	0.0254237	0	0.5	8.9626e-10	0.357538	0.136598	0.151116
79	1.30565	0.694349	1.78632	0.929444	0.983605	1.78632	3.21368	0.2148	0.694349	1.57143	3.23813e-09	2.61722	0.32942	0.983605	2.58695	0.0251046	0.0251046	0	0.5	6.83213e-10	0.357676	0.136642	0.151158
80	1.30563	0.694367	1.78632	0.929444	0.983605	1.78632	3.21368	0.214814	0.694367	1.57153	2.46753e-09	2.6174	0.329512	0.983605	2.58695	0.0247934	0.0247934	0	0.5	5.20791e-10	0.357811	0.136684	0.151199
81	1.30562	0.694385	1.78632	0.929444	0.983605	1.78632	3.21368	0.214827	0.694385	1.57163	1.88023e-09	2.61757	0.329603	0.983605	2.58695	0.0244898	0.0244898	0	0.5	3.9696e-10	0.357943	0.136726	0.151238
82	1.3056	0.694402	1.78632	0.929444	0.983605	1.78632	3.21368	0.214841	0.694402	1.57173	1.43259e-09	2.61773	0.329691	0.983605	2.58695	0.0241936	0.0241936	0	0.5	3.02544e-10	0.358072	0.136767	0.151277
